NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
1919775;2016-04-26;2016-04-26;16:54:00;17:14:47;51,317;2469,126;20,783;74,6;71,6;A;15;A15;oplopend;Noordtunnel;Alblasserdam;Ridderkerk;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 21];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1914881;2016-04-19;2016-04-19;17:38:00;17:44:45;13,500;2000,000;6,750;160,8;162,8;A;50;A50;aflopend;Rijnbrug;Heteren;Arnhem;Oss;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 7];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1919726;2016-04-26;2016-04-26;16:44:00;16:46:44;5,467;2000,000;2,733;163,9;165,9;A;50;A50;aflopend;Grijsoord;Renkum;Arnhem;Oss;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1914913;2016-04-19;2016-04-19;17:44:00;18:41:49;135,600;2345,345;57,817;58,6;60,6;A;12;A12;aflopend;Nieuwegein;Oudenrijn;Utrecht;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 58];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1919787;2016-04-26;2016-04-26;16:54:00;16:57:46;7,533;2000,000;3,767;86,6;84,6;A;15;A15;oplopend;Sliedrecht-Oost;Hardinxveld-Giessendam;Ridderkerk;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1917199;2016-04-21;2016-04-21;18:10:00;18:13:44;7,467;2000,000;3,733;86,4;88,4;A;15;A15;aflopend;Hardinxveld-Giessendam;Sliedrecht-Oost;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1914964;2016-04-19;2016-04-19;17:57:00;18:12:44;48,467;3080,509;15,733;31,1;33,1;A;58;A58;aflopend;De Baars;Moergestel;Breda;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 16];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1919345;2016-04-26;2016-04-26;8:56:00;9:05:01;21,567;2391,867;9,017;37,5;40,5;A;2;A2;aflopend;Amc Ziekenhuis;Holendrecht;Utrecht;Amsterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 9];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1917992;2016-04-22;2016-04-22;18:10:00;18:52:46;85,533;2000,000;42,767;55,7;57,7;A;2;A2;aflopend;Maarssen;Breukelen;'s-Hertogenbosch;Amsterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2], [Onwelwording 1], [Geen oorzaakcode opgegeven door VWM 40];[000], [M02], [000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1919483;2016-04-26;2016-04-26;14:39:00;19:18:18;1499,067;5367,228;279,300;43,8;41,8;A;20;A20;oplopend;Nieuwerkerk Aan Den Ijssel;Moordrecht;Hoek van Holland;Gouda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 279];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1915719;2016-04-20;2016-04-20;17:19:00;17:24:41;11,367;2000,000;5,683;78,5;76,5;A;1;A1;oplopend;Kootwijk;Hoenderloo;Amersfoort;Apeldoorn;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1920262;2016-04-26;2016-04-26;17:58:00;18:43:43;252,417;5521,327;45,717;33,0;25,0;A;16;A16;oplopend;Drechttunnel;Dordrecht;Rotterdam;Breda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 46];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1915651;2016-04-20;2016-04-20;17:04:00;17:07:41;7,367;2000,000;3,683;108,9;106,9;A;1;A1;oplopend;Deventer-Oost;Bathmen;Apeldoorn;Hengelo;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1920025;2016-04-26;2016-04-26;17:37:00;17:49:47;34,567;2704,042;12,783;24,6;26,6;A;58;A58;aflopend;Brug Over Het Wilhelminakanaal Hm 20.7;Oirschot;Tilburg;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 13];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1915820;2016-04-20;2016-04-20;17:38:00;17:40:44;5,467;2000,000;2,733;65,4;67,4;A;12;A12;aflopend;Houten-Oost;Lunetten;Arnhem;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1919384;2016-04-26;2016-04-26;9:22:00;9:57:39;145,100;4070,126;35,650;38,4;36,4;A;4;A4;oplopend;Zoeterwoude-Dorp;Leidschendam;Amsterdam;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 36];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1915811;2016-04-20;2016-04-20;17:37:00;17:39:45;5,500;2000,000;2,750;29,2;27,2;A;9;A9;oplopend;Amstelveen;Brug Over De Ringvaart;Diemen;Den Helder;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1914283;2016-04-19;2016-04-19;7:57:00;8:37:42;116,450;2861,179;40,700;42,0;40,0;A;12;A12;oplopend;Nieuwerbrug;Woerden;Den Haag;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 41];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1914266;2016-04-19;2016-04-19;7:50:00;7:55:40;11,333;2000,000;5,667;33,3;35,3;A;28;A28;aflopend;Nijkerk;Amersfoort-Vathorst;Zwolle;Amersfoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1919356;2016-04-26;2016-04-26;9:04:00;9:08:43;9,433;2000,000;4,717;30,0;32,0;A;10;A10;aflopend;Coentunnel;Amsterdam-Hemhavens;Coenplein;De Nieuwe Meer;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1919620;2016-04-26;2016-04-26;16:19:00;16:26:43;15,433;2000,000;7,717;25,1;27,1;N;325;N325;aflopend;Sacharowbrug;Huissen;Arnhem Velperbroek;Arnhem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1915923;2016-04-20;2016-04-20;18:09:00;18:17:43;20,867;2393,882;8,717;29,3;33,3;A;9;A9;aflopend;Brug Over De Ringvaart;Amstelveen;Alkmaar;Amstelveen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 9];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1914154;2016-04-19;2016-04-19;6:59:00;7:02:40;7,333;2000,000;3,667;84,6;86,6;A;15;A15;aflopend;Sliedrecht-Oost;Sliedrecht-West;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1919615;2016-04-26;2016-04-26;16:17:00;18:56:41;612,450;3835,403;159,683;6,1;8,1;A;9;A9;aflopend;Weesp;Diemen;Amstelveen;Diemen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 160];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1913492;2016-04-18;2016-04-18;7:53:00;8:52:39;119,300;2000,000;59,650;29,7;31,7;A;58;A58;aflopend;De Baars;Moergestel;Breda;Eindhoven;Defect(e) voertuig(en);[Defect(e) voertuig(en) 60];[BKD];BKD;Defect(e) voertuig(en);Defect voertuig;Incident (gestrand voertuig);Incident
1920181;2016-04-26;2016-04-26;17:56:00;17:59:47;11,350;3000,000;3,783;93,8;96,8;A;27;A27;aflopend;Eemnes;Hilversum;Almere;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1919395;2016-04-26;2016-04-26;9:37:00;9:49:40;25,333;2000,000;12,667;43,3;41,3;A;27;A27;oplopend;Noordeloos;Lexmond;Breda;Almere;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2], [Defect(e) voertuig(en) 1], [Geen oorzaakcode opgegeven door VWM 10];[000], [BKD], [000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1915578;2016-04-20;2016-04-20;16:50:00;16:53:43;7,433;2000,000;3,717;13,3;11,3;A;27;A27;oplopend;Oosterhout-Oost;Oosterhout;Breda;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1915448;2016-04-20;2016-04-20;16:09:00;16:13:41;9,367;2000,000;4,683;78,4;80,4;A;27;A27;aflopend;Rijnsweerd;Lunetten;Utrecht;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
1914196;2016-04-19;2016-04-19;7:22:00;8:19:29;507,150;8822,557;57,483;84,4;81,4;A;15;A15;oplopend;Sliedrecht-West;Sliedrecht-Oost;Ridderkerk;Gorinchem;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 11], [Ongeval(len) 46], [Geen oorzaakcode opgegeven door VWM 0];[000], [ACI], [000];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
