NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2730671;2020-02-03;2020-02-03;7:16:00;7:33:18;51,900;3000,000;17,300;217,0;220,0;A;50;A50;aflopend;Epe;Vaassen;Zwolle;Apeldoorn;Eerder(e) ongeval(len);[Eerder(e) ongeval(len) 17];[ACA];ACA;Eerder(e) ongeval(len);Ongeval;Ongeval;Ongeval
2730699;2020-02-03;2020-02-03;7:25:00;7:40:14;36,433;2391,685;15,233;166,7;164,7;A;50;A50;oplopend;Renkum;Grijsoord;Oss;Arnhem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 15];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2730728;2020-02-03;2020-02-03;7:36:00;8:13:20;74,667;2000,000;37,333;13,5;15,5;A;22;A22;aflopend;Beverwijk;Beverwijk;Beverwijk;Velsen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 37];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2730907;2020-02-03;2020-02-03;8:28:00;8:59:13;153,117;4904,965;31,217;85,4;93,4;A;15;A15;aflopend;Hardinxveld-Giessendam;Sliedrecht-Oost;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 31];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2731170;2020-02-03;2020-02-03;16:57:00;16:59:13;11,083;5000,000;2,217;49,1;44,1;A;1;A1;oplopend;Hoevelaken;Barneveld;Amsterdam;Apeldoorn;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2731236;2020-02-03;2020-02-03;17:29:00;17:58:08;112,433;3859,268;29,133;43,0;47,0;A;27;A27;aflopend;Lexmond;Noordeloos;Utrecht;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 29];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2731202;2020-02-03;2020-02-03;17:16:00;17:29:12;26,400;2000,000;13,200;60,9;58,9;A;4;A4;oplopend;Ketheltunnel;Kethelplein;Den Haag;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 13];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2730880;2020-02-03;2020-02-03;8:23:00;8:27:17;29,983;7000,000;4,283;83,2;90,2;A;15;A15;aflopend;Sliedrecht-Oost;Sliedrecht-West;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2730676;2020-02-03;2020-02-03;7:17:00;7:41:16;91,700;3778,846;24,267;104,1;107,1;A;2;A2;aflopend;Kerkdriel;Zaltbommel;'s-Hertogenbosch;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 24];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2731143;2020-02-03;2020-02-03;16:48:00;17:07:10;57,500;3000,000;19,167;64,8;61,8;A;6;A6;oplopend;Almere-Oostvaarders;Lelystad;Muiden;Lelystad;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 19];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2731189;2020-02-03;2020-02-03;17:09:00;17:19:10;20,333;2000,000;10,167;2,9;0,9;A;8;A8;oplopend;Zaanstad-Zuid;Zaandam;Amsterdam;Zaandam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 10];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2730874;2020-02-03;2020-02-03;8:20:00;8:27:17;17,567;2411,899;7,283;51,6;53,6;A;16;A16;aflopend;Zonzeel;Zevenbergschen Hoek;Breda;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 7];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2730647;2020-02-03;2020-02-03;6:57:00;8:45:38;217,267;2000,000;108,633;128,0;130,0;A;15;A15;aflopend;Tiel;Tiel-West;Nijmegen;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 109];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2730813;2020-02-03;2020-02-03;8:02:00;9:18:40;357,667;4665,217;76,667;79,6;84,6;A;27;A27;aflopend;De Bilt;Rijnsweerd;Almere;Breda;Afremmend verkeer als gevolg van kijkers naar  ongeval(len);[Geen oorzaakcode opgegeven door VWM 1], [Afremmend verkeer als gevolg van kijkers naar  ongeval(len) 76], [Geen oorzaakcode opgegeven door VWM 0];[000], [YDO], [000];YDO;Afremmend verkeer als gevolg van kijkers naar  ongeval(len);Kijkfile;Ongeval;Ongeval
2731304;2020-02-03;2020-02-03;18:50:00;19:05:03;38,117;2532,669;15,050;33,9;35,9;A;20;A20;aflopend;Terbregseplein;Rotterdam-Crooswijk;Gouda;Hoek van Holland;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 15];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2730814;2020-02-03;2020-02-03;8:02:00;8:32:15;113,350;3747,107;30,250;18,5;16,5;A;13;A13;oplopend;Overschie;Kleinpolderplein;Rijswijk;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 30];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2730651;2020-02-03;2020-02-03;7:01:00;7:05:08;8,267;2000,000;4,133;44,1;46,1;A;15;A15;aflopend;Spijkenisse;Havens 4000-5200;Ridderkerk;Europoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2731156;2020-02-03;2020-02-03;16:54:00;16:56:12;4,400;2000,000;2,200;39,0;41,0;A;27;A27;aflopend;Noordeloos;Gorinchem;Almere;Breda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2730866;2020-02-03;2020-02-03;8:17:00;8:21:18;8,600;2000,000;4,300;107,1;105,1;A;2;A2;oplopend;Zaltbommel;Kerkdriel;Utrecht;'s-Hertogenbosch;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2730864;2020-02-03;2020-02-03;8:17:00;8:49:16;100,517;3115,186;32,267;13,6;15,6;A;22;A22;aflopend;Beverwijk;Beverwijk;Beverwijk;Velsen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 32];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2730614;2020-02-03;2020-02-03;6:38:00;7:39:16;231,733;3782,372;61,267;46,9;49,9;A;9;A9;aflopend;Brug Over Het Zijkanaal C;Rottepolderplein;Alkmaar;Amstelveen;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 21], [Eerder(e) ongeval(len) 39];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
