NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2257146;2017-12-04;2017-12-04;18:23:00;18:26:39;7,300;2000,000;3,650;138,4;136,4;A;12;A12;oplopend;Westervoort;Duiven;Arnhem;Oberhausen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2258921;2017-12-06;2017-12-06;18:43:00;19:08:29;95,267;3738,391;25,483;48,7;54,7;A;27;A27;aflopend;Lexmond;Noordeloos;Utrecht;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 25];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2256669;2017-12-04;2017-12-04;8:52:00;9:00:42;17,400;2000,000;8,700;58,0;60,0;A;1;A1;aflopend;Stroe;Voorthuizen;Apeldoorn;Amersfoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 9];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2258919;2017-12-06;2017-12-06;18:41:00;19:51:37;182,467;2583,904;70,617;22,3;18,3;A;10;A10;oplopend;De Nieuwe Meer;Amsterdam-Slotervaart;Amstel;Coenplein;Ongeval (met opruim/berging);[Geen oorzaakcode opgegeven door VWM 6], [Ongeval(len) 29], [Opruimingswerkzaamheden 32], [Geen oorzaakcode opgegeven door VWM 3];[000], [ACI], [OCL], [000];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2257278;2017-12-05;2017-12-05;7:39:00;7:53:11;42,550;3000,000;14,183;58,6;61,6;A;15;A15;aflopend;Vaanplein;Charlois/Rhoon;Ridderkerk;Oostvoorne;Defect(e) voertuig(en);[Defect(e) voertuig(en) 14];[BKD];BKD;Defect(e) voertuig(en);Defect voertuig;Incident (gestrand voertuig);Incident
2258104;2017-12-06;2017-12-06;6:25:00;7:39:41;262,750;3518,188;74,683;44,7;40,7;A;27;A27;oplopend;Noordeloos;Lexmond;Breda;Almere;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 75];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2257279;2017-12-05;2017-12-05;7:40:00;8:54:39;263,983;3536,280;74,650;31,2;28,2;A;27;A27;oplopend;Nieuwendijk;Werkendam;Breda;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 75];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2258845;2017-12-06;2017-12-06;17:46:00;18:33:41;267,133;5602,237;47,683;127,7;131,7;A;59;A59;aflopend;Vlijmen;Nieuwkuijk;Oss;Zonzeel;Ongeval(len);[Ongeval(len) 22], [Eerder(e) ongeval(len) 26];[ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2257448;2017-12-05;2017-12-05;8:42:00;8:46:40;9,333;2000,000;4,667;235,3;233,3;A;2;A2;oplopend;Born;Urmond;Eindhoven;Maastricht-Noord;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2257261;2017-12-05;2017-12-05;7:30:00;8:09:43;116,583;2935,376;39,717;85,4;87,4;A;15;A15;aflopend;Hardinxveld-Giessendam;Sliedrecht-Oost;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 40];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2258110;2017-12-06;2017-12-06;6:36:00;6:41:37;11,233;2000,000;5,617;69,3;71,3;A;2;A2;aflopend;Nieuwegein-Zuid;Nieuwegein;'s-Hertogenbosch;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
