,year,month,n_jams,bt,ct,"ES(0.5, 0.4, 0.6)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,73.575,0.926,7325
2015-03,2015,03,10172,44.145,1.205,10172
2015-04,2015,04,9598,26.487,1.34,9598
2015-05,2015,05,8608,15.892,1.292,8608
2015-06,2015,06,10218,9.535,1.269,10218
2015-07,2015,07,5080,5.721,0.736,5080
2015-08,2015,08,4570,3.433,0.503,4570
2015-09,2015,09,10751,2.06,1.232,10751
2015-10,2015,10,12661,1.236,1.683,12661
2015-11,2015,11,15565,0.741,1.678,15565
2015-12,2015,12,10572,0.445,1.139,10572
2016-01,2016,01,9100,-236.7,0.904,9979.583
2016-02,2016,02,8534,-341.611,0.883,9480.606
2016-03,2016,03,10933,-354.792,1.174,9106.042
2016-04,2016,04,12516,-237.287,1.361,9045.014
2016-05,2016,05,12558,-54.952,1.35,9263.564
2016-06,2016,06,11645,-60.806,1.262,9193.978
2016-07,2016,07,6037,-246.324,0.688,8669.377
2016-08,2016,08,4578,-110.658,0.518,8762.218
2016-09,2016,09,12730,224.772,1.365,9490.135
2016-10,2016,10,14657,23.342,1.6,9211.333
2016-11,2016,11,17355,245.024,1.802,9788.879
2016-12,2016,12,10230,35.156,1.082,9509.234
2017-01,2017,01,8884,91.242,0.922,9684.605
2017-02,2017,02,9259,232.308,0.927,10128.512
2017-03,2017,03,10882,14.112,1.114,9815.329
2017-04,2017,04,10858,-355.916,1.208,8904.372
2017-05,2017,05,11472,-365.87,1.313,8523.572
2017-06,2017,06,12120,-76.176,1.358,8881.936
2017-07,2017,07,5802,-151.344,0.667,8617.84
2017-08,2017,08,4483,-113.887,0.519,8560.137
2017-09,2017,09,9479,-413.959,1.21,7696.07
2017-10,2017,10,11213,-468.715,1.514,7145.223
2017-11,2017,11,13081,-351.886,1.819,6968.581
2017-12,2017,12,9990,170.527,1.293,7922.726
2018-01,2018,01,9294,567.39,1.073,9085.412
2018-02,2018,02,8047,372.988,0.902,9166.796
2018-03,2018,03,12323,677.019,1.252,10299.861
2018-04,2018,04,13019,637.025,1.242,10876.896
2018-05,2018,05,14194,496.385,1.308,11162.322
2018-06,2018,06,11291,-172.272,1.15,9987.063
2018-07,2018,07,7634,152.979,0.726,10627.918
2018-08,2018,08,4432,-296.405,0.458,9657.437
2018-09,2018,09,11776,-222.619,1.216,9545.498
2018-10,2018,10,17441,216.514,1.702,10420.711
2018-11,2018,11,13964,-375.659,1.532,9156.792
2018-12,2018,12,10312,-537.009,1.193,8377.758
2019-01,2019,01,10359,-173.855,1.171,8748.633
2019-02,2019,02,10506,440.113,1.081,10109.7
2019-03,2019,03,12533,331.803,1.245,10279.037
2019-04,2019,04,17231,985.21,1.502,12244.356
2019-05,2019,05,14118,497.743,1.215,12010.899
2019-06,2019,06,14570,529.812,1.188,12588.815
2019-07,2019,07,10153,704.86,0.774,13556.248
2019-08,2019,08,5665,326.744,0.434,13315.818
2019-09,2019,09,13404,-196.683,1.09,12333.994
2019-10,2019,10,23430,129.162,1.821,12951.923
2019-11,2019,11,19188,18.477,1.502,12804.372
2019-12,2019,12,12608,-432.344,1.068,11695.796
