,year,month,n_jams,bt,ct,"ES(0.8, 0.3, 0.3)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,85.837,0.926,7325
2015-03,2015,03,10172,60.086,1.205,10172
2015-04,2015,04,9598,42.06,1.34,9598
2015-05,2015,05,8608,29.442,1.292,8608
2015-06,2015,06,10218,20.61,1.269,10218
2015-07,2015,07,5080,14.427,0.736,5080
2015-08,2015,08,4570,10.099,0.503,4570
2015-09,2015,09,10751,7.069,1.232,10751
2015-10,2015,10,12661,4.948,1.683,12661
2015-11,2015,11,15565,3.464,1.678,15565
2015-12,2015,12,10572,2.425,1.139,10572
2016-01,2016,01,9100,-282.624,0.937,9624.262
2016-02,2016,02,8534,-312.218,0.914,9242.991
2016-03,2016,03,10933,-278.063,1.198,9044.624
2016-04,2016,04,12516,-140.731,1.353,9224.335
2016-05,2016,05,12558,11.86,1.313,9592.242
2016-06,2016,06,11645,-90.082,1.252,9264.295
2016-07,2016,07,6037,-322.553,0.71,8399.308
2016-08,2016,08,4578,-76.642,0.516,8896.457
2016-09,2016,09,12730,285.493,1.292,10026.931
2016-10,2016,10,14657,-99.627,1.617,9028.692
2016-11,2016,11,17355,239.737,1.751,10060.278
2016-12,2016,12,10230,-75.971,1.102,9247.655
2017-01,2017,01,8884,-1.287,0.944,9420.63
2017-02,2017,02,9259,169.184,0.935,9987.581
2017-03,2017,03,10882,-89.038,1.166,9296.025
2017-04,2017,04,10858,-373.103,1.298,8260.105
2017-05,2017,05,11472,-168.818,1.336,8567.95
2017-06,2017,06,12120,138.291,1.301,9422.831
2017-07,2017,07,5802,-196.507,0.682,8445.129
2017-08,2017,08,4483,-89.498,0.52,8605.318
2017-09,2017,09,9479,-372.507,1.235,7572.456
2017-10,2017,10,11213,-435.998,1.576,6988.312
2017-11,2017,11,13081,-215.832,1.787,7286.2
2017-12,2017,12,9990,262.773,1.183,8665.719
2018-01,2018,01,9294,482.826,0.983,9662.003
2018-02,2018,02,8047,114.297,0.904,8916.398
2018-03,2018,03,12323,484.03,1.231,10263.138
2018-04,2018,04,13019,312.452,1.289,10175.24
2018-05,2018,05,14194,345.886,1.353,10599.141
2018-06,2018,06,11291,-197.92,1.23,9132.34
2018-07,2018,07,7634,344.001,0.728,10740.823
2018-08,2018,08,4432,-271.531,0.488,9033.051
2018-09,2018,09,11776,-85.597,1.256,9381.301
2018-10,2018,10,17441,339.471,1.661,10712.596
2018-11,2018,11,13964,-438.036,1.642,8460.377
2018-12,2018,12,10312,-270.993,1.194,8579.153
2019-01,2019,01,10359,265.369,1.05,10096.031
2019-02,2019,02,10506,567.415,0.945,11368.22
2019-03,2019,03,12533,147.105,1.192,10534.602
2019-04,2019,04,17231,791.86,1.393,12830.889
2019-05,2019,05,14118,25.879,1.278,11069.482
2019-06,2019,06,14570,205.378,1.256,11693.69
2019-07,2019,07,10153,695.701,0.77,13533.478
2019-08,2019,08,5665,67.242,0.467,12134.315
2019-09,2019,09,13404,-298.847,1.21,10981.262
2019-10,2019,10,23430,522.972,1.803,13421.81
2019-11,2019,11,19188,-19.598,1.578,12136.216
2019-12,2019,12,12608,-392.491,1.147,10873.643
