,year,month,n_jams,bt,"ES(0.4, 0.5)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,-46.6,8001.8
2015-04,2015,04,9598,281.96,8612.32
2015-05,2015,05,8608,224.704,8779.768
2015-06,2015,06,10218,467.41,9489.883
2015-07,2015,07,5080,-508.049,8006.376
2015-08,2015,08,4570,-1093.714,6326.996
2015-09,2015,09,10751,9.829,7440.369
2015-10,2015,10,12661,1051.99,9534.519
2015-11,2015,11,15565,2047.688,12577.905
2015-12,2015,12,10572,1236.969,13004.156
2016-01,2016,01,9100,208.744,12184.675
2016-02,2016,02,8534,-563.14,10849.652
2016-03,2016,03,10933,-433.842,10545.107
2016-04,2016,04,12516,47.105,11073.159
2016-05,2016,05,12558,334.652,11695.358
2016-06,2016,06,11645,257.65,11876.006
2016-07,2016,07,6037,-961.681,9694.994
2016-08,2016,08,4578,-1792.744,7071.188
2016-09,2016,09,12730,-302.433,8259.066
2016-10,2016,10,14657,1037.641,10636.78
2016-11,2016,11,17355,2173.757,13946.653
2016-12,2016,12,10230,995.675,13764.245
2017-01,2017,01,8884,-179.509,12409.552
2017-02,2017,02,9259,-773.718,11041.626
2017-03,2017,03,10882,-650.899,10513.545
2017-04,2017,04,10858,-451.828,10260.787
2017-05,2017,05,11472,-119.22,10474.175
2017-06,2017,06,12120,233.789,11060.973
2017-07,2017,07,5802,-864.764,9097.657
2017-08,2017,08,4483,-1614.742,6732.936
2017-09,2017,09,9479,-742.581,6862.516
2017-10,2017,10,11213,276.032,8157.161
2017-11,2017,11,13081,1205.593,10292.316
2017-12,2017,12,9990,904.011,10894.745
2018-01,2018,01,9294,403.06,10796.854
2018-02,2018,02,8047,-227.523,9938.749
2018-03,2018,03,12323,294.832,10755.935
2018-04,2018,04,13019,688.479,11838.061
2018-05,2018,05,14194,1021.971,13193.523
2018-06,2018,06,11291,437.072,13045.697
2018-07,2018,07,7634,-732.682,11143.261
2018-08,2018,08,4432,-1928.398,8019.148
2018-09,2018,09,11776,-791.348,8364.85
2018-10,2018,10,17441,1182.152,11520.501
2018-11,2018,11,13964,1434.421,13207.192
2018-12,2018,12,10312,568.499,12909.768
2019-01,2019,01,10359,-55.355,12230.56
2019-02,2019,02,10506,-389.196,11507.523
2019-03,2019,03,12533,-106.261,11684.196
2019-04,2019,04,17231,1024.352,13839.161
2019-05,2019,05,14118,875.249,14565.308
2019-06,2019,06,14570,701.138,15092.334
2019-07,2019,07,10153,-426.957,13537.283
2019-08,2019,08,5665,-1916.022,10132.196
2019-09,2019,09,13404,-878.457,10291.304
2019-10,2019,10,23430,1924.974,15019.709
2019-11,2019,11,19188,2373.637,17842.009
2019-12,2019,12,12608,852.108,17172.588
