,year,month,n_jams,bt,"ES(0.6, 0.7)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,749.14,8725.2
2015-04,2015,04,9598,801.077,9548.536
2015-05,2015,05,8608,69.6,9304.645
2015-06,2015,06,10218,423.977,9880.498
2015-07,2015,07,5080,-1770.303,7169.79
2015-08,2015,08,4570,-2118.687,4901.795
2015-09,2015,09,10751,1227.828,7563.843
2015-10,2015,10,12661,2852.946,11113.268
2015-11,2015,11,15565,3524.436,14925.486
2015-12,2015,12,10572,215.709,13723.169
2016-01,2016,01,9100,-1816.62,11035.551
2016-02,2016,02,8534,-2104.291,8807.973
2016-03,2016,03,10933,-327.977,9241.273
2016-04,2016,04,12516,1185.159,11074.918
2016-05,2016,05,12558,1310.286,12438.831
2016-06,2016,06,11645,426.557,12486.647
2016-07,2016,07,6037,-2461.449,8787.482
2016-08,2016,08,4578,-3195.622,5277.213
2016-09,2016,09,12730,1276.709,8470.636
2016-10,2016,10,14657,3338.764,12693.138
2016-11,2016,11,17355,3894.465,16825.761
2016-12,2016,12,10230,-511.43,14426.09
2017-01,2017,01,8884,-2624.307,10896.264
2017-02,2017,02,9259,-2209.749,8864.183
2017-03,2017,03,10882,-434.171,9190.973
2017-04,2017,04,10858,448.332,10017.521
2017-05,2017,05,11472,870.914,11069.541
2017-06,2017,06,12120,946.323,12048.182
2017-07,2017,07,5802,-2074.529,8679.002
2017-08,2017,08,4483,-2965.548,5331.589
2017-09,2017,09,9479,21.895,6633.817
2017-10,2017,10,11213,1935.956,9390.085
2017-11,2017,11,13081,2673.039,12379.016
2017-12,2017,12,9990,546.976,12014.822
2018-01,2018,01,9294,-825.499,10601.119
2018-02,2018,02,8047,-1551.52,8738.448
2018-03,2018,03,12323,605.63,10268.571
2018-04,2018,04,13019,1506.446,12161.081
2018-05,2018,05,14194,1727.565,13983.411
2018-06,2018,06,11291,-128.825,13058.99
2018-07,2018,07,7634,-2353.214,9752.466
2018-08,2018,08,4432,-3599.46,5618.901
2018-09,2018,09,11776,498.295,7873.376
2018-10,2018,10,17441,4307.413,13813.268
2018-11,2018,11,13964,2561.607,15626.673
2018-12,2018,12,10312,-746.431,13462.512
2019-01,2019,01,10359,-1736.405,11301.832
2019-02,2019,02,10506,-1341.364,10129.771
2019-03,2019,03,12533,231.365,11035.163
2019-04,2019,04,17231,2736.443,14845.211
2019-05,2019,05,14118,1281.708,15503.462
2019-06,2019,06,14570,351.337,15456.068
2019-07,2019,07,10153,-2023.513,12414.762
2019-08,2019,08,5665,-4008.538,7555.5
2019-09,2019,09,13404,131.418,9461.185
2019-10,2019,10,23430,5943.125,17895.041
2019-11,2019,11,19188,3990.055,21048.067
2019-12,2019,12,12608,-1230.596,17580.049
