,year,month,n_jams,bt,ct,"ES(0.5, 0.2, 0.6)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,98.1,0.926,7325
2015-03,2015,03,10172,78.48,1.205,10172
2015-04,2015,04,9598,62.784,1.34,9598
2015-05,2015,05,8608,50.227,1.292,8608
2015-06,2015,06,10218,40.182,1.269,10218
2015-07,2015,07,5080,32.145,0.736,5080
2015-08,2015,08,4570,25.716,0.503,4570
2015-09,2015,09,10751,20.573,1.232,10751
2015-10,2015,10,12661,16.458,1.683,12661
2015-11,2015,11,15565,13.167,1.678,15565
2015-12,2015,12,10572,10.533,1.139,10572
2016-01,2016,01,9100,-109.048,0.904,9984.627
2016-02,2016,02,8534,-174.773,0.883,9546.955
2016-03,2016,03,10933,-204.682,1.169,9222.635
2016-04,2016,04,12516,-172.6,1.35,9178.365
2016-05,2016,05,12558,-101.236,1.338,9362.583
2016-06,2016,06,11645,-109.437,1.254,9220.345
2016-07,2016,07,6037,-199.969,0.687,8658.245
2016-08,2016,08,4578,-135.659,0.518,8779.829
2016-09,2016,09,12730,32.795,1.363,9486.441
2016-10,2016,10,14657,-48.352,1.6,9113.497
2016-11,2016,11,17355,79.441,1.814,9704.113
2016-12,2016,12,10230,-0.458,1.088,9384.06
2017-01,2017,01,8884,43.664,0.93,9604.212
2017-02,2017,02,9259,127.302,0.932,10066.064
2017-03,2017,03,10882,38.762,1.116,9750.666
2017-04,2017,04,10858,-136.09,1.208,8915.169
2017-05,2017,05,11472,-156.44,1.307,8677.328
2017-06,2017,06,12120,-41.8,1.34,9094.09
2017-07,2017,07,5802,-102.655,0.658,8748.016
2017-08,2017,08,4483,-102.493,0.515,8646.17
2017-09,2017,09,9479,-261.38,1.203,7749.239
2017-10,2017,10,11213,-309.491,1.508,7247.307
2017-11,2017,11,13081,-282.065,1.808,7074.944
2017-12,2017,12,9990,-43.123,1.282,7987.588
2018-01,2018,01,9294,162.083,1.07,8970.494
2018-02,2018,02,8047,112.527,0.911,8884.797
2018-03,2018,03,12323,316.731,1.279,10018.348
2018-04,2018,04,13019,360.708,1.263,10554.964
2018-05,2018,05,14194,354.991,1.33,10887.087
2018-06,2018,06,11291,73.691,1.158,9835.575
2018-07,2018,07,7634,243.559,0.729,10758.609
2018-08,2018,08,4432,4.169,0.453,9805.215
2018-09,2018,09,11776,2.14,1.202,9799.239
2018-10,2018,10,17441,178.326,1.671,10682.312
2018-11,2018,11,13964,-135.595,1.508,9291.033
2018-12,2018,12,10312,-247.021,1.179,8598.305
2019-01,2019,01,10359,-114.039,1.151,9016.194
2019-02,2019,02,10506,149.102,1.064,10217.863
2019-03,2019,03,12533,92.545,1.247,10084.176
2019-04,2019,04,17231,439.142,1.53,11909.708
2019-05,2019,05,14118,265.974,1.243,11483.008
2019-06,2019,06,14570,349.201,1.225,12165.116
2019-07,2019,07,10153,490.961,0.792,13223.117
2019-08,2019,08,5665,369.798,0.438,13108.264
2019-09,2019,09,13404,137.333,1.094,12315.737
2019-10,2019,10,23430,293.992,1.81,13236.364
2019-11,2019,11,19188,213.611,1.473,13128.454
2019-12,2019,12,12608,-51.117,1.048,12018.424
