,year,month,n_jams,bt,ct,"ES(0.3, 0.3, 0.5)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,85.837,0.926,7325
2015-03,2015,03,10172,60.086,1.205,10172
2015-04,2015,04,9598,42.06,1.34,9598
2015-05,2015,05,8608,29.442,1.292,8608
2015-06,2015,06,10218,20.61,1.269,10218
2015-07,2015,07,5080,14.427,0.736,5080
2015-08,2015,08,4570,10.099,0.503,4570
2015-09,2015,09,10751,7.069,1.232,10751
2015-10,2015,10,12661,4.948,1.683,12661
2015-11,2015,11,15565,3.464,1.678,15565
2015-12,2015,12,10572,2.425,1.139,10572
2016-01,2016,01,9100,-104.469,0.915,10218.114
2016-02,2016,02,8534,-185.047,0.88,9845.05
2016-03,2016,03,10933,-237.869,1.158,9483.929
2016-04,2016,04,12516,-229.525,1.33,9273.875
2016-05,2016,05,12558,-168.77,1.323,9246.865
2016-06,2016,06,11645,-159.658,1.264,9108.47
2016-07,2016,07,6037,-226.549,0.699,8725.843
2016-08,2016,08,4578,-172.361,0.514,8679.921
2016-09,2016,09,12730,-8.457,1.35,9053.905
2016-10,2016,10,14657,-38.849,1.651,8944.141
2016-11,2016,11,17355,90.552,1.809,9336.629
2016-12,2016,12,10230,50.716,1.117,9294.396
2017-01,2017,01,8884,83.388,0.935,9454.017
2017-02,2017,02,9259,171.455,0.93,9830.962
2017-03,2017,03,10882,117.172,1.132,9821.472
2017-04,2017,04,10858,-42.534,1.218,9406.293
2017-05,2017,05,11472,-104.917,1.271,9155.814
2017-06,2017,06,12120,-56.508,1.294,9212.261
2017-07,2017,07,5802,-133.759,0.665,8898.25
2017-08,2017,08,4483,-137.334,0.509,8752.575
2017-09,2017,09,9479,-280.559,1.216,8137.823
2017-10,2017,10,11213,-376.478,1.514,7537.534
2017-11,2017,11,13081,-370.233,1.772,7181.873
2017-12,2017,12,9990,-178.466,1.254,7450.863
2018-01,2018,01,9294,61.171,1.091,8071.189
2018-02,2018,02,8047,108.066,0.963,8288.674
2018-03,2018,03,12323,331.817,1.31,9142.577
2018-04,2018,04,13019,441.314,1.321,9839.386
2018-05,2018,05,14194,520.857,1.357,10545.843
2018-06,2018,06,11291,310.246,1.182,10364.664
2018-07,2018,07,7634,383.403,0.701,10918.765
2018-08,2018,08,4432,150.146,0.457,10524.644
2018-09,2018,09,11776,60.8,1.168,10376.97
2018-10,2018,10,17441,157.868,1.598,10761.331
2018-11,2018,11,13964,-115.748,1.535,10007.146
2018-12,2018,12,10312,-265.924,1.142,9390.813
2019-01,2019,01,10359,-232.95,1.097,9234.801
2019-02,2019,02,10506,-61.719,1.051,9572.621
2019-03,2019,03,12533,-56.345,1.309,9528.816
2019-04,2019,04,17231,265.197,1.565,10544.278
2019-05,2019,05,14118,228.717,1.348,10687.874
2019-06,2019,06,14570,355.37,1.273,11338.767
2019-07,2019,07,10153,607.282,0.798,12533.844
2019-08,2019,08,5665,539.345,0.455,12914.67
2019-09,2019,09,13404,361.694,1.103,12861.845
2019-10,2019,10,23430,491.492,1.71,13656.199
2019-11,2019,11,19188,343.262,1.47,13653.591
2019-12,2019,12,12608,76.935,1.033,13109.097
