,year,month,n_jams,MA(4) intermediate,MA(4),Error,Error squared
2015-01,2015,01,8095,,,,
2015-02,2015,02,7325,,,,
2015-03,2015,03,10172,8797.5,8861.625,-1310.375,1717082.640625
2015-04,2015,04,9598,8925.75,9287.375,-310.625,96487.890625
2015-05,2015,05,8608,9649.0,9012.5,404.5,163620.25
2015-06,2015,06,10218,8376.0,7747.5,-2470.5,6103370.25
2015-07,2015,07,5080,7119.0,7386.875,2306.875,5321672.265625
2015-08,2015,08,4570,7654.75,7960.125,3390.125,11492947.515625
2015-09,2015,09,10751,8265.5,9576.125,-1174.875,1380331.265625
2015-10,2015,10,12661,10886.75,11637.0,-1024.0,1048576.0
2015-11,2015,11,15565,12387.25,12180.875,-3384.125,11452302.015625
2015-12,2015,12,10572,11974.5,11458.625,886.625,786103.890625
2016-01,2016,01,9100,10942.75,10363.75,1263.75,1597064.0625
2016-02,2016,02,8534,9784.75,10027.75,1493.75,2231289.0625
2016-03,2016,03,10933,10270.75,10703.0,-230.0,52900.0
2016-04,2016,04,12516,11135.25,11524.125,-991.875,983816.015625
2016-05,2016,05,12558,11913.0,11301.0,-1257.0,1580049.0
2016-06,2016,06,11645,10689.0,9696.75,-1948.25,3795678.0625
2016-07,2016,07,6037,8704.5,8726.0,2689.0,7230721.0
2016-08,2016,08,4578,8747.5,9124.0,4546.0,20666116.0
2016-09,2016,09,12730,9500.5,10915.25,-1814.75,3293317.5625
2016-10,2016,10,14657,12330.0,13036.5,-1620.5,2626020.25
2016-11,2016,11,17355,13743.0,13262.25,-4092.75,16750602.5625
2016-12,2016,12,10230,12781.5,12106.75,1876.75,3522190.5625
2017-01,2017,01,8884,11432.0,10622.875,1738.875,3023686.265625
2017-02,2017,02,9259,9813.75,9892.25,633.25,401005.5625
2017-03,2017,03,10882,9970.75,10294.25,-587.75,345450.0625
2017-04,2017,04,10858,10617.75,10975.375,117.375,13776.890625
2017-05,2017,05,11472,11333.0,10698.0,-774.0,599076.0
2017-06,2017,06,12120,10063.0,9266.125,-2853.875,8144602.515625
2017-07,2017,07,5802,8469.25,8220.125,2418.125,5847328.515625
2017-08,2017,08,4483,7971.0,7857.625,3374.625,11388093.890625
2017-09,2017,09,9479,7744.25,8654.125,-824.875,680418.765625
2017-10,2017,10,11213,9564.0,10252.375,-960.625,922800.390625
2017-11,2017,11,13081,10940.75,10917.625,-2163.375,4680191.390625
2017-12,2017,12,9990,10894.5,10498.75,508.75,258826.5625
2018-01,2018,01,9294,10103.0,10008.25,714.25,510153.0625
2018-02,2018,02,8047,9913.5,10292.125,2245.125,5040586.265625
2018-03,2018,03,12323,10670.75,11283.25,-1039.75,1081080.0625
2018-04,2018,04,13019,11895.75,12301.25,-717.75,515165.0625
2018-05,2018,05,14194,12706.75,12120.625,-2073.375,4298883.890625
2018-06,2018,06,11291,11534.5,10461.125,-829.875,688692.515625
2018-07,2018,07,7634,9387.75,9085.5,1451.5,2106852.25
2018-08,2018,08,4432,8783.25,9552.0,5120.0,26214400.0
2018-09,2018,09,11776,10320.75,11112.0,-664.0,440896.0
2018-10,2018,10,17441,11903.25,12638.25,-4802.75,23066407.5625
2018-11,2018,11,13964,13373.25,13196.125,-767.875,589632.015625
2018-12,2018,12,10312,13019.0,12152.125,1840.125,3386060.015625
2019-01,2019,01,10359,11285.25,11106.375,747.375,558569.390625
2019-02,2019,02,10506,10927.5,11792.375,1286.375,1654760.640625
2019-03,2019,03,12533,12657.25,13127.125,594.125,352984.515625
2019-04,2019,04,17231,13597.0,14105.0,-3126.0,9771876.0
2019-05,2019,05,14118,14613.0,14315.5,197.5,39006.25
2019-06,2019,06,14570,14018.0,12572.25,-1997.75,3991005.0625
2019-07,2019,07,10153,11126.5,11037.25,884.25,781898.0625
2019-08,2019,08,5665,10948.0,12055.5,6390.5,40838490.25
2019-09,2019,09,13404,13163.0,14292.375,888.375,789210.140625
2019-10,2019,10,23430,15421.75,16289.625,-7140.375,50984955.140625
2019-11,2019,11,19188,17157.5,,,
2019-12,2019,12,12608,,,,
