,year,month,n_jams,bt,ct,"ES(0.5, 0.2, 0.7)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,98.1,0.926,7325
2015-03,2015,03,10172,78.48,1.205,10172
2015-04,2015,04,9598,62.784,1.34,9598
2015-05,2015,05,8608,50.227,1.292,8608
2015-06,2015,06,10218,40.182,1.269,10218
2015-07,2015,07,5080,32.145,0.736,5080
2015-08,2015,08,4570,25.716,0.503,4570
2015-09,2015,09,10751,20.573,1.232,10751
2015-10,2015,10,12661,16.458,1.683,12661
2015-11,2015,11,15565,13.167,1.678,15565
2015-12,2015,12,10572,10.533,1.139,10572
2016-01,2016,01,9100,-109.048,0.893,9984.627
2016-02,2016,02,8534,-174.773,0.876,9546.955
2016-03,2016,03,10933,-204.682,1.163,9222.635
2016-04,2016,04,12516,-172.6,1.352,9178.365
2016-05,2016,05,12558,-101.236,1.345,9362.583
2016-06,2016,06,11645,-109.437,1.251,9220.345
2016-07,2016,07,6037,-199.969,0.679,8658.245
2016-08,2016,08,4578,-135.659,0.521,8779.829
2016-09,2016,09,12730,32.795,1.385,9486.441
2016-10,2016,10,14657,-48.352,1.586,9113.497
2016-11,2016,11,17355,79.441,1.836,9704.113
2016-12,2016,12,10230,-0.458,1.08,9384.06
2017-01,2017,01,8884,55.617,0.931,9663.977
2017-02,2017,02,9259,140.586,0.933,10144.44
2017-03,2017,03,10882,47.667,1.1,9820.428
2017-04,2017,04,10858,-136.056,1.18,8949.483
2017-05,2017,05,11472,-164.695,1.301,8670.229
2017-06,2017,06,12120,-46.601,1.354,9096.004
2017-07,2017,07,5802,-97.099,0.65,8796.915
2017-08,2017,08,4483,-106.655,0.513,8652.035
2017-09,2017,09,9479,-276.634,1.182,7695.488
2017-10,2017,10,11213,-311.741,1.496,7243.314
2017-11,2017,11,13081,-292.582,1.815,7027.369
2017-12,2017,12,9990,-40.65,1.319,7994.448
2018-01,2018,01,9294,162.563,1.093,8969.863
2018-02,2018,02,8047,111.369,0.908,8876.454
2018-03,2018,03,12323,333.031,1.302,10096.132
2018-04,2018,04,13019,393.823,1.257,10733.128
2018-05,2018,05,14194,372.208,1.316,11018.871
2018-06,2018,06,11291,67.067,1.123,9865.377
2018-07,2018,07,7634,247.895,0.737,10836.584
2018-08,2018,08,4432,3.328,0.44,9861.644
2018-09,2018,09,11776,12.845,1.191,9912.558
2018-10,2018,10,17441,186.217,1.68,10792.262
2018-11,2018,11,13964,-142.298,1.45,9335.903
2018-12,2018,12,10312,-279.834,1.169,8505.927
2019-01,2019,01,10359,-154.687,1.18,8851.827
2019-02,2019,02,10506,132.618,1.103,10133.666
2019-03,2019,03,12533,68.774,1.256,9947.064
2019-04,2019,04,17231,438.514,1.59,11864.539
2019-05,2019,05,14118,281.015,1.228,11515.559
2019-06,2019,06,14570,398.251,1.223,12382.751
2019-07,2019,07,10153,498.255,0.795,13281.021
2019-08,2019,08,5665,407.243,0.431,13324.219
2019-09,2019,09,13404,159.936,1.061,12494.927
2019-10,2019,10,23430,288.75,1.817,13298.933
2019-11,2019,11,19188,253.067,1.445,13409.267
2019-12,2019,12,12608,-34.524,1.009,12224.379
