,year,month,n_jams,bt,ct,"ES(0.5, 0.5, 0.7)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,61.312,0.926,7325
2015-03,2015,03,10172,30.656,1.205,10172
2015-04,2015,04,9598,15.328,1.34,9598
2015-05,2015,05,8608,7.664,1.292,8608
2015-06,2015,06,10218,3.832,1.269,10218
2015-07,2015,07,5080,1.916,0.736,5080
2015-08,2015,08,4570,0.958,0.503,4570
2015-09,2015,09,10751,0.479,1.232,10751
2015-10,2015,10,12661,0.24,1.683,12661
2015-11,2015,11,15565,0.12,1.678,15565
2015-12,2015,12,10572,0.06,1.139,10572
2016-01,2016,01,9100,-296.275,0.893,9979.391
2016-02,2016,02,8534,-412.471,0.876,9450.723
2016-03,2016,03,10933,-403.762,1.171,9055.669
2016-04,2016,04,12516,-232.045,1.37,8995.342
2016-05,2016,05,12558,6.981,1.365,9241.349
2016-06,2016,06,11645,-10.266,1.263,9213.837
2016-07,2016,07,6037,-259.763,0.679,8704.576
2016-08,2016,08,4578,-95.621,0.519,8773.098
2016-09,2016,09,12730,317.188,1.385,9503.094
2016-10,2016,10,14657,39.057,1.585,9264.02
2016-11,2016,11,17355,299.058,1.815,9823.079
2016-12,2016,12,10230,14.665,1.071,9553.351
2017-01,2017,01,8884,108.749,0.919,9756.184
2017-02,2017,02,9259,283.89,0.927,10215.216
2017-03,2017,03,10882,-18.229,1.097,9894.868
2017-04,2017,04,10858,-505.347,1.179,8902.402
2017-05,2017,05,11472,-503.29,1.312,8401.17
2017-06,2017,06,12120,-78.047,1.389,8748.366
2017-07,2017,07,5802,-110.538,0.668,8605.338
2017-08,2017,08,4483,-75.01,0.52,8565.856
2017-09,2017,09,9479,-487.285,1.19,7666.296
2017-10,2017,10,11213,-512.981,1.499,7127.62
2017-11,2017,11,13081,-364.595,1.829,6911.41
2017-12,2017,12,9990,331.542,1.333,7939.088
2018-01,2018,01,9294,792.269,1.095,9192.084
2018-02,2018,02,8047,465.814,0.891,9331.444
2018-03,2018,03,12323,824.641,1.254,10514.912
2018-04,2018,04,13019,750.355,1.22,11190.982
2018-05,2018,05,14194,470.691,1.281,11382.008
2018-06,2018,06,11291,-459.761,1.111,9991.795
2018-07,2018,07,7634,14.029,0.735,10479.614
2018-08,2018,08,4432,-480.186,0.452,9505.212
2018-09,2018,09,11776,-263.037,1.224,9459.325
2018-10,2018,10,17441,346.226,1.74,10414.814
2018-11,2018,11,13964,-435.447,1.487,9197.695
2018-12,2018,12,10312,-691.996,1.185,8249.149
2019-01,2019,01,10359,-216.549,1.208,8508.047
2019-02,2019,02,10506,658.493,1.132,10041.583
2019-03,2019,03,12533,483.005,1.25,10349.099
2019-04,2019,04,17231,1304.757,1.532,12475.609
2019-05,2019,05,14118,614.308,1.177,12399.468
2019-06,2019,06,14570,639.444,1.156,13064.048
2019-07,2019,07,10153,665.866,0.765,13756.336
2019-08,2019,08,5665,192.526,0.424,13475.522
2019-09,2019,09,13404,-487.429,1.064,12308.137
2019-10,2019,10,23430,-77.039,1.855,12641.488
2019-11,2019,11,19188,7.203,1.509,12732.934
2019-12,2019,12,12608,-517.24,1.049,11691.25
