,year,month,n_jams,bt,ct,"ES(0.5, 0.2, 0.4)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,98.1,0.926,7325
2015-03,2015,03,10172,78.48,1.205,10172
2015-04,2015,04,9598,62.784,1.34,9598
2015-05,2015,05,8608,50.227,1.292,8608
2015-06,2015,06,10218,40.182,1.269,10218
2015-07,2015,07,5080,32.145,0.736,5080
2015-08,2015,08,4570,25.716,0.503,4570
2015-09,2015,09,10751,20.573,1.232,10751
2015-10,2015,10,12661,16.458,1.683,12661
2015-11,2015,11,15565,13.167,1.678,15565
2015-12,2015,12,10572,10.533,1.139,10572
2016-01,2016,01,9100,-109.048,0.926,9984.627
2016-02,2016,02,8534,-174.773,0.897,9546.955
2016-03,2016,03,10933,-204.682,1.181,9222.635
2016-04,2016,04,12516,-172.6,1.347,9178.365
2016-05,2016,05,12558,-101.236,1.323,9362.583
2016-06,2016,06,11645,-109.437,1.259,9220.345
2016-07,2016,07,6037,-199.969,0.703,8658.245
2016-08,2016,08,4578,-135.659,0.513,8779.829
2016-09,2016,09,12730,32.795,1.319,9486.441
2016-10,2016,10,14657,-48.352,1.628,9113.497
2016-11,2016,11,17355,79.441,1.768,9704.113
2016-12,2016,12,10230,-0.458,1.105,9384.06
2017-01,2017,01,8884,20.6,0.934,9488.889
2017-02,2017,02,9259,101.474,0.929,9913.858
2017-03,2017,03,10882,21.31,1.148,9614.512
2017-04,2017,04,10858,-136.166,1.26,8848.441
2017-05,2017,05,11472,-139.959,1.312,8693.312
2017-06,2017,06,12120,-32.379,1.313,9091.252
2017-07,2017,07,5802,-113.334,0.677,8654.099
2017-08,2017,08,4483,-94.039,0.515,8637.24
2017-09,2017,09,9479,-229.958,1.231,7863.606
2017-10,2017,10,11213,-304.541,1.547,7260.735
2017-11,2017,11,13081,-260.488,1.782,7176.456
2017-12,2017,12,9990,-47.889,1.22,7978.965
2018-01,2018,01,9294,153.789,1.026,8939.466
2018-02,2018,02,8047,110.929,0.917,8878.955
2018-03,2018,03,12323,285.65,1.244,9863.491
2018-04,2018,04,13019,304.06,1.284,10241.188
2018-05,2018,05,14194,331.303,1.342,10681.461
2018-06,2018,06,11291,90.046,1.211,9806.481
2018-07,2018,07,7634,227.555,0.718,10584.07
2018-08,2018,08,4432,6.662,0.477,9707.163
2018-09,2018,09,11776,-7.833,1.224,9641.347
2018-10,2018,10,17441,156.12,1.652,10453.279
2018-11,2018,11,13964,-121.09,1.603,9223.35
2018-12,2018,12,10312,-185.883,1.179,8778.295
2019-01,2019,01,10359,-35.955,1.088,9342.051
2019-02,2019,02,10506,178.758,1.0,10379.664
2019-03,2019,03,12533,130.572,1.229,10317.493
2019-04,2019,04,17231,427.831,1.438,11934.36
2019-05,2019,05,14118,243.894,1.278,11442.504
2019-06,2019,06,14570,278.837,1.236,11861.114
2019-07,2019,07,10153,479.398,0.773,13142.755
2019-08,2019,08,5665,305.787,0.458,12754.1
2019-09,2019,09,13404,95.215,1.155,12007.025
2019-10,2019,10,23430,303.377,1.772,13143.052
2019-11,2019,11,19188,155.456,1.546,12706.821
2019-12,2019,12,12608,-61.437,1.104,11777.812
