,year,month,n_jams,bt,"ES(0.5, 0.7)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,495.95,8363.5
2015-04,2015,04,9598,754.443,9228.725
2015-05,2015,05,8608,273.134,9295.584
2015-06,2015,06,10218,500.383,9893.359
2015-07,2015,07,5080,-1359.427,7736.871
2015-08,2015,08,4570,-1992.032,5473.722
2015-09,2015,09,10751,552.226,7116.345
2015-10,2015,10,12661,2299.576,10164.786
2015-11,2015,11,15565,3384.8,14014.681
2015-12,2015,12,10572,995.181,13985.74
2016-01,2016,01,9100,-1063.141,12040.461
2016-02,2016,02,8534,-1918.303,9755.66
2016-03,2016,03,10933,-834.828,9385.178
2016-04,2016,04,12516,553.149,10533.175
2016-05,2016,05,12558,1068.236,11822.162
2016-06,2016,06,11645,632.346,12267.699
2016-07,2016,07,6037,-1769.719,9468.523
2016-08,2016,08,4578,-2862.001,6138.402
2016-09,2016,09,12730,446.759,8003.201
2016-10,2016,10,14657,2619.223,11553.48
2016-11,2016,11,17355,3733.027,15763.851
2016-12,2016,12,10230,489.62,14863.439
2017-01,2017,01,8884,-1774.551,12118.529
2017-02,2017,02,9259,-2154.293,9801.489
2017-03,2017,03,10882,-1022.112,9264.598
2017-04,2017,04,10858,-106.682,9550.243
2017-05,2017,05,11472,603.272,10457.78
2017-06,2017,06,12120,973.903,11590.526
2017-07,2017,07,5802,-1392.947,9183.215
2017-08,2017,08,4483,-2550.491,6136.634
2017-09,2017,09,9479,-487.991,6532.572
2017-10,2017,10,11213,1320.956,8628.79
2017-11,2017,11,13081,2416.895,11515.373
2017-12,2017,12,9990,1037.101,11961.134
2018-01,2018,01,9294,-259.381,11146.117
2018-02,2018,02,8047,-1253.289,9466.868
2018-03,2018,03,12323,185.008,10268.29
2018-04,2018,04,13019,1083.004,11736.149
2018-05,2018,05,14194,1564.201,13506.577
2018-06,2018,06,11291,241.279,13180.889
2018-07,2018,07,7634,-1784.58,10528.084
2018-08,2018,08,4432,-3293.606,6587.752
2018-09,2018,09,11776,-324.957,7535.073
2018-10,2018,10,17441,3255.852,12325.558
2018-11,2018,11,13964,2689.759,14772.705
2018-12,2018,12,10312,187.096,13887.232
2019-01,2019,01,10359,-1113.268,12216.664
2019-02,2019,02,10506,-1322.357,10804.698
2019-03,2019,03,12533,-254.626,11007.67
2019-04,2019,04,17231,2012.658,13992.022
2019-05,2019,05,14118,1352.32,15061.34
2019-06,2019,06,14570,707.039,15491.83
2019-07,2019,07,10153,-1409.015,13175.935
2019-08,2019,08,5665,-3544.687,8715.96
2019-09,2019,09,13404,-663.232,9287.636
2019-10,2019,10,23430,4518.726,16027.202
2019-11,2019,11,19188,4043.451,19866.964
2019-12,2019,12,12608,87.606,18259.208
