,year,month,n_jams,bt,ct,"ES(0.7, 0.7, 0.6)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,36.788,0.926,7325
2015-03,2015,03,10172,11.036,1.205,10172
2015-04,2015,04,9598,3.311,1.34,9598
2015-05,2015,05,8608,0.993,1.292,8608
2015-06,2015,06,10218,0.298,1.269,10218
2015-07,2015,07,5080,0.089,0.736,5080
2015-08,2015,08,4570,0.027,0.503,4570
2015-09,2015,09,10751,0.008,1.232,10751
2015-10,2015,10,12661,0.002,1.683,12661
2015-11,2015,11,15565,0.001,1.678,15565
2015-12,2015,12,10572,0.0,1.139,10572
2016-01,2016,01,9100,-580.786,0.904,9742.305
2016-02,2016,02,8534,-552.949,0.896,9201.286
2016-03,2016,03,10933,-344.822,1.195,8945.662
2016-04,2016,04,12516,16.768,1.376,9117.397
2016-05,2016,05,12558,303.534,1.343,9543.83
2016-06,2016,06,11645,-23.796,1.24,9379.749
2016-07,2016,07,6037,-587.479,0.68,8550.693
2016-08,2016,08,4578,-29.776,0.522,8759.932
2016-09,2016,09,12730,753.516,1.365,9849.144
2016-10,2016,10,14657,-174.986,1.566,9276.229
2016-11,2016,11,17355,433.515,1.794,9970.53
2016-12,2016,12,10230,-262.03,1.071,9410.409
2017-01,2017,01,8884,69.426,0.928,9621.888
2017-02,2017,02,9259,384.821,0.936,10141.878
2017-03,2017,03,10882,-310.884,1.122,9532.835
2017-04,2017,04,10858,-961.807,1.234,8292.062
2017-05,2017,05,11472,-368.772,1.367,8177.448
2017-06,2017,06,12120,596.11,1.385,9187.079
2017-07,2017,07,5802,-19.625,0.651,8903.567
2017-08,2017,08,4483,-168.099,0.511,8671.836
2017-09,2017,09,9479,-932.011,1.202,7412.434
2017-10,2017,10,11213,-599.271,1.534,6955.765
2017-11,2017,11,13081,-140.547,1.846,7011.814
2017-12,2017,12,9990,1062.856,1.283,8590.414
2018-01,2018,01,9294,1239.444,1.02,9905.538
2018-02,2018,02,8047,-7.729,0.862,9363.306
2018-03,2018,03,12323,790.922,1.238,10496.508
2018-04,2018,04,13019,431.257,1.238,10773.623
2018-05,2018,05,14194,27.235,1.337,10627.706
2018-06,2018,06,11291,-1199.298,1.191,8902.75
2018-07,2018,07,7634,771.084,0.775,10518.283
2018-08,2018,08,4432,-511.496,0.457,9457.11
2018-09,2018,09,11776,-93.575,1.228,9542.643
2018-10,2018,10,17441,847.108,1.71,10792.901
2018-11,2018,11,13964,-1149.602,1.515,8787.567
2018-12,2018,12,10312,-954.694,1.217,7916.404
2019-01,2019,01,10359,608.523,1.193,9194.877
2019-02,2019,02,10506,1778.92,1.03,11475.395
2019-03,2019,03,12533,243.427,1.151,11060.754
2019-04,2019,04,17231,1526.376,1.43,13136.966
2019-05,2019,05,14118,-486.239,1.18,11788.178
2019-06,2019,06,14570,-32.247,1.218,11950.499
2019-07,2019,07,10153,547.659,0.82,12746.689
2019-08,2019,08,5665,104.2,0.45,12660.834
2019-09,2019,09,13404,-801.496,1.126,11471.182
2019-10,2019,10,23430,683.208,1.91,12790.692
2019-11,2019,11,19188,288.546,1.506,12910.097
2019-12,2019,12,12608,-1104.075,1.073,11209.184
