,year,month,n_jams,bt,ct,"ES(0.8, 0.3, 0.5)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,85.837,0.926,7325
2015-03,2015,03,10172,60.086,1.205,10172
2015-04,2015,04,9598,42.06,1.34,9598
2015-05,2015,05,8608,29.442,1.292,8608
2015-06,2015,06,10218,20.61,1.269,10218
2015-07,2015,07,5080,14.427,0.736,5080
2015-08,2015,08,4570,10.099,0.503,4570
2015-09,2015,09,10751,7.069,1.232,10751
2015-10,2015,10,12661,4.948,1.683,12661
2015-11,2015,11,15565,3.464,1.678,15565
2015-12,2015,12,10572,2.425,1.139,10572
2016-01,2016,01,9100,-282.624,0.915,9624.262
2016-02,2016,02,8534,-312.218,0.906,9242.991
2016-03,2016,03,10933,-278.063,1.194,9044.624
2016-04,2016,04,12516,-140.731,1.362,9224.335
2016-05,2016,05,12558,11.86,1.327,9592.242
2016-06,2016,06,11645,-90.082,1.241,9264.295
2016-07,2016,07,6037,-322.553,0.694,8399.308
2016-08,2016,08,4578,-76.642,0.524,8896.457
2016-09,2016,09,12730,285.493,1.332,10026.931
2016-10,2016,10,14657,-99.627,1.572,9028.692
2016-11,2016,11,17355,239.737,1.8,10060.278
2016-12,2016,12,10230,-75.971,1.078,9247.655
2017-01,2017,01,8884,52.776,0.938,9600.84
2017-02,2017,02,9259,187.971,0.935,10104.268
2017-03,2017,03,10882,-94.678,1.135,9350.076
2017-04,2017,04,10858,-402.686,1.262,8228.704
2017-05,2017,05,11472,-205.688,1.36,8482.678
2017-06,2017,06,12120,151.174,1.335,9466.528
2017-07,2017,07,5802,-149.695,0.653,8614.808
2017-08,2017,08,4483,-128.128,0.522,8537.001
2017-09,2017,09,9479,-437.941,1.221,7376.164
2017-10,2017,10,11213,-391.737,1.546,7092.237
2017-11,2017,11,13081,-255.791,1.822,7153.654
2017-12,2017,12,9990,313.367,1.237,8795.056
2018-01,2018,01,9294,505.613,0.997,9749.244
2018-02,2018,02,8047,109.286,0.88,8933.766
2018-03,2018,03,12323,543.679,1.257,10491.029
2018-04,2018,04,13019,371.929,1.251,10462.209
2018-05,2018,05,14194,275.758,1.359,10513.566
2018-06,2018,06,11291,-283.913,1.204,8923.755
2018-07,2018,07,7634,447.045,0.754,11076.369
2018-08,2018,08,4432,-281.665,0.461,9094.381
2018-09,2018,09,11776,-82.062,1.258,9478.06
2018-10,2018,10,17441,369.855,1.693,10902.387
2018-11,2018,11,13964,-496.34,1.552,8384.925
2018-12,2018,12,10312,-389.078,1.233,8246.124
2019-01,2019,01,10359,218.093,1.127,9880.95
2019-02,2019,02,10506,658.432,0.972,11566.838
2019-03,2019,03,12533,116.524,1.17,10418.913
2019-04,2019,04,17231,892.924,1.453,13123.436
2019-05,2019,05,14118,23.043,1.217,11116.756
2019-06,2019,06,14570,252.61,1.258,11905.022
2019-07,2019,07,10153,564.879,0.804,13198.53
2019-08,2019,08,5665,209.834,0.445,12579.924
2019-09,2019,09,13404,-302.39,1.162,11082.346
2019-10,2019,10,23430,431.399,1.904,13225.92
2019-11,2019,11,19188,121.757,1.501,12625.18
2019-12,2019,12,12608,-484.334,1.116,10726.633
