,year,month,n_jams,ES(0.6)
2015-01,2015,01,8095,8095
2015-02,2015,02,7325,7633.0
2015-03,2015,03,10172,9156.4
2015-04,2015,04,9598,9421.36
2015-05,2015,05,8608,8933.344
2015-06,2015,06,10218,9704.138
2015-07,2015,07,5080,6929.655
2015-08,2015,08,4570,5513.862
2015-09,2015,09,10751,8656.145
2015-10,2015,10,12661,11059.058
2015-11,2015,11,15565,13762.623
2015-12,2015,12,10572,11848.249
2016-01,2016,01,9100,10199.3
2016-02,2016,02,8534,9200.12
2016-03,2016,03,10933,10239.848
2016-04,2016,04,12516,11605.539
2016-05,2016,05,12558,12177.016
2016-06,2016,06,11645,11857.806
2016-07,2016,07,6037,8365.323
2016-08,2016,08,4578,6092.929
2016-09,2016,09,12730,10075.172
2016-10,2016,10,14657,12824.269
2016-11,2016,11,17355,15542.707
2016-12,2016,12,10230,12355.083
2017-01,2017,01,8884,10272.433
2017-02,2017,02,9259,9664.373
2017-03,2017,03,10882,10394.949
2017-04,2017,04,10858,10672.78
2017-05,2017,05,11472,11152.312
2017-06,2017,06,12120,11732.925
2017-07,2017,07,5802,8174.37
2017-08,2017,08,4483,5959.548
2017-09,2017,09,9479,8071.219
2017-10,2017,10,11213,9956.288
2017-11,2017,11,13081,11831.115
2017-12,2017,12,9990,10726.446
2018-01,2018,01,9294,9866.978
2018-02,2018,02,8047,8774.991
2018-03,2018,03,12323,10903.797
2018-04,2018,04,13019,12172.919
2018-05,2018,05,14194,13385.567
2018-06,2018,06,11291,12128.827
2018-07,2018,07,7634,9431.931
2018-08,2018,08,4432,6431.972
2018-09,2018,09,11776,9638.389
2018-10,2018,10,17441,14319.956
2018-11,2018,11,13964,14106.382
2018-12,2018,12,10312,11829.753
2019-01,2019,01,10359,10947.301
2019-02,2019,02,10506,10682.52
2019-03,2019,03,12533,11792.808
2019-04,2019,04,17231,15055.723
2019-05,2019,05,14118,14493.089
2019-06,2019,06,14570,14539.236
2019-07,2019,07,10153,11907.494
2019-08,2019,08,5665,8161.998
2019-09,2019,09,13404,11307.199
2019-10,2019,10,23430,18580.88
2019-11,2019,11,19188,18945.152
2019-12,2019,12,12608,15142.861
