,year,month,n_jams,ES(0.7)
2015-01,2015,01,8095,8095
2015-02,2015,02,7325,7556.0
2015-03,2015,03,10172,9387.2
2015-04,2015,04,9598,9534.76
2015-05,2015,05,8608,8886.028
2015-06,2015,06,10218,9818.408
2015-07,2015,07,5080,6501.523
2015-08,2015,08,4570,5149.457
2015-09,2015,09,10751,9070.537
2015-10,2015,10,12661,11583.861
2015-11,2015,11,15565,14370.658
2015-12,2015,12,10572,11711.597
2016-01,2016,01,9100,9883.479
2016-02,2016,02,8534,8938.844
2016-03,2016,03,10933,10334.753
2016-04,2016,04,12516,11861.626
2016-05,2016,05,12558,12349.088
2016-06,2016,06,11645,11856.226
2016-07,2016,07,6037,7782.768
2016-08,2016,08,4578,5539.43
2016-09,2016,09,12730,10572.829
2016-10,2016,10,14657,13431.749
2016-11,2016,11,17355,16178.025
2016-12,2016,12,10230,12014.407
2017-01,2017,01,8884,9823.122
2017-02,2017,02,9259,9428.237
2017-03,2017,03,10882,10445.871
2017-04,2017,04,10858,10734.361
2017-05,2017,05,11472,11250.708
2017-06,2017,06,12120,11859.213
2017-07,2017,07,5802,7619.164
2017-08,2017,08,4483,5423.849
2017-09,2017,09,9479,8262.455
2017-10,2017,10,11213,10327.836
2017-11,2017,11,13081,12255.051
2017-12,2017,12,9990,10669.515
2018-01,2018,01,9294,9706.655
2018-02,2018,02,8047,8544.896
2018-03,2018,03,12323,11189.569
2018-04,2018,04,13019,12470.171
2018-05,2018,05,14194,13676.851
2018-06,2018,06,11291,12006.755
2018-07,2018,07,7634,8945.827
2018-08,2018,08,4432,5786.148
2018-09,2018,09,11776,9979.044
2018-10,2018,10,17441,15202.413
2018-11,2018,11,13964,14335.524
2018-12,2018,12,10312,11519.057
2019-01,2019,01,10359,10707.017
2019-02,2019,02,10506,10566.305
2019-03,2019,03,12533,11942.992
2019-04,2019,04,17231,15644.597
2019-05,2019,05,14118,14575.979
2019-06,2019,06,14570,14571.794
2019-07,2019,07,10153,11478.638
2019-08,2019,08,5665,7409.091
2019-09,2019,09,13404,11605.527
2019-10,2019,10,23430,19882.658
2019-11,2019,11,19188,19396.397
2019-12,2019,12,12608,14644.519
