,year,month,n_jams,bt,"ES(0.4, 0.4)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,-191.28,8001.8
2015-04,2015,04,9598,94.717,8525.512
2015-05,2015,05,8608,92.76,8615.337
2015-06,2015,06,10218,334.345,9312.058
2015-07,2015,07,5080,-396.28,7819.842
2015-08,2015,08,4570,-852.85,6282.137
2015-09,2015,09,10751,-1.376,7557.972
2015-10,2015,10,12661,815.329,9598.358
2015-11,2015,11,15565,1639.539,12474.212
2015-12,2015,12,10572,1072.859,12697.051
2016-01,2016,01,9100,325.673,11901.946
2016-02,2016,02,8534,-265.306,10750.171
2016-03,2016,03,10933,-193.604,10664.119
2016-04,2016,04,12516,133.673,11288.709
2016-05,2016,05,12558,315.372,11876.629
2016-06,2016,06,11645,227.852,11973.201
2016-07,2016,07,6037,-758.397,9735.432
2016-08,2016,08,4578,-1462.242,7217.421
2016-09,2016,09,12730,-346.271,8545.107
2016-10,2016,10,14657,687.035,10782.102
2016-11,2016,11,17355,1628.773,13823.482
2016-12,2016,12,10230,793.212,13363.353
2017-01,2017,01,8884,-50.398,12047.54
2017-02,2017,02,9259,-488.501,10901.885
2017-03,2017,03,10882,-413.522,10600.83
2017-04,2017,04,10858,-306.212,10455.585
2017-05,2017,05,11472,-94.591,10678.424
2017-06,2017,06,12120,151.195,11198.3
2017-07,2017,07,5802,-736.404,9130.497
2017-08,2017,08,4483,-1362.179,6829.656
2017-09,2017,09,9479,-720.335,7072.086
2017-10,2017,10,11213,57.465,8296.251
2017-11,2017,11,13081,813.83,10244.629
2017-12,2017,12,9990,642.877,10631.076
2018-01,2018,01,9294,326.084,10481.971
2018-02,2018,02,8047,-115.685,9703.633
2018-03,2018,03,12323,321.924,10681.969
2018-04,2018,04,13019,644.341,11809.936
2018-05,2018,05,14194,922.696,13150.166
2018-06,2018,06,11291,477.599,12960.117
2018-07,2018,07,7634,-450.996,11116.23
2018-08,2018,08,4432,-1448.313,8171.94
2018-09,2018,09,11776,-639.934,8744.576
2018-10,2018,10,17441,853.884,11839.185
2018-11,2018,11,13964,1057.233,13201.441
2018-12,2018,12,10312,425.765,12680.004
2019-01,2019,01,10359,-13.718,12007.061
2019-02,2019,02,10506,-251.693,11398.406
2019-03,2019,03,12533,-29.887,11701.228
2019-04,2019,04,17231,859.658,13895.204
2019-05,2019,05,14118,757.76,14500.117
2019-06,2019,06,14570,647.7,14982.727
2019-07,2019,07,10153,-228.688,13439.456
2019-08,2019,08,5665,-1436.011,10192.461
2019-09,2019,09,13404,-692.403,10615.47
2019-10,2019,10,23430,1468.706,15325.84
2019-11,2019,11,19188,1851.659,17751.928
2019-12,2019,12,12608,732.365,16805.352
