,year,month,n_jams,bt,ct,"ES(0.4, 0.3, 0.5)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,85.837,0.926,7325
2015-03,2015,03,10172,60.086,1.205,10172
2015-04,2015,04,9598,42.06,1.34,9598
2015-05,2015,05,8608,29.442,1.292,8608
2015-06,2015,06,10218,20.61,1.269,10218
2015-07,2015,07,5080,14.427,0.736,5080
2015-08,2015,08,4570,10.099,0.503,4570
2015-09,2015,09,10751,7.069,1.232,10751
2015-10,2015,10,12661,4.948,1.683,12661
2015-11,2015,11,15565,3.464,1.678,15565
2015-12,2015,12,10572,2.425,1.139,10572
2016-01,2016,01,9100,-140.1,0.915,10099.343
2016-02,2016,02,8534,-229.009,0.885,9662.878
2016-03,2016,03,10933,-272.303,1.168,9289.556
2016-04,2016,04,12516,-233.72,1.344,9145.863
2016-05,2016,05,12558,-136.849,1.333,9235.046
2016-06,2016,06,11645,-127.112,1.265,9130.655
2016-07,2016,07,6037,-222.867,0.698,8684.359
2016-08,2016,08,4578,-146.08,0.515,8717.448
2016-09,2016,09,12730,64.801,1.346,9274.305
2016-10,2016,10,14657,-10.961,1.632,9086.567
2016-11,2016,11,17355,141.136,1.794,9582.596
2016-12,2016,12,10230,52.436,1.103,9428.066
2017-01,2017,01,8884,79.751,0.929,9571.552
2017-02,2017,02,9259,176.507,0.926,9973.822
2017-03,2017,03,10882,76.273,1.13,9816.215
2017-04,2017,04,10858,-141.195,1.225,9167.596
2017-05,2017,05,11472,-191.289,1.292,8859.419
2017-06,2017,06,12120,-81.545,1.316,9033.945
2017-07,2017,07,5802,-158.996,0.67,8694.231
2017-08,2017,08,4483,-138.799,0.515,8602.559
2017-09,2017,09,9479,-309.612,1.224,7894.383
2017-10,2017,10,11213,-395.198,1.526,7299.484
2017-11,2017,11,13081,-348.703,1.793,7059.268
2017-12,2017,12,9990,-67.206,1.259,7648.89
2018-01,2018,01,9294,223.895,1.072,8552.02
2018-02,2018,02,8047,213.182,0.934,8740.205
2018-03,2018,03,12323,447.833,1.27,9735.558
2018-04,2018,04,13019,501.21,1.281,10361.314
2018-05,2018,05,14194,516.07,1.331,10912.058
2018-06,2018,06,11291,173.949,1.176,10287.724
2018-07,2018,07,7634,285.125,0.706,10832.259
2018-08,2018,08,4432,-16.97,0.462,10110.4
2018-09,2018,09,11776,-73.799,1.194,9904.0
2018-10,2018,10,17441,118.004,1.644,10469.546
2018-11,2018,11,13964,-217.932,1.563,9467.763
2018-12,2018,12,10312,-345.134,1.174,8825.823
2019-01,2019,01,10359,-203.108,1.123,8954.11
2019-02,2019,02,10506,97.076,1.053,9751.615
2019-03,2019,03,12533,99.66,1.278,9857.303
2019-04,2019,04,17231,518.836,1.515,11354.217
2019-05,2019,05,14118,366.98,1.287,11366.865
2019-06,2019,06,14570,446.199,1.229,11997.909
2019-07,2019,07,10153,678.144,0.776,13217.26
2019-08,2019,08,5665,481.326,0.445,13239.343
2019-09,2019,09,13404,181.487,1.103,12721.207
2019-10,2019,10,23430,343.854,1.743,13443.917
2019-11,2019,11,19188,162.126,1.495,13182.012
2019-12,2019,12,12608,-150.61,1.065,12301.684
