,year,month,n_jams,bt,"ES(0.4, 0.6)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,98.08,8001.8
2015-04,2015,04,9598,457.629,8699.128
2015-05,2015,05,8608,325.927,8937.254
2015-06,2015,06,10218,555.084,9645.109
2015-07,2015,07,5080,-673.763,8152.115
2015-08,2015,08,4570,-1371.767,6315.012
2015-09,2015,09,10751,22.094,7266.347
2015-10,2015,10,12661,1311.508,9437.464
2015-11,2015,11,15565,2467.355,12675.384
2015-12,2015,12,10572,1370.378,13314.443
2016-01,2016,01,9100,30.021,12450.892
2016-02,2016,02,8534,-917.239,10902.148
2016-03,2016,03,10933,-689.697,10364.146
2016-04,2016,04,12516,-7.724,10811.069
2016-05,2016,05,12558,413.393,11505.207
2016-06,2016,06,11645,347.729,11809.16
2016-07,2016,07,6037,-1121.044,9708.933
2016-08,2016,08,4578,-2083.418,6983.933
2016-09,2016,09,12730,-204.341,8032.309
2016-10,2016,10,14657,1434.626,10559.581
2016-11,2016,11,17355,2721.217,14138.524
2016-12,2016,12,10230,1130.079,14207.844
2017-01,2017,01,8884,-418.863,12756.354
2017-02,2017,02,9259,-1157.701,11106.095
2017-03,2017,03,10882,-933.635,10321.836
2017-04,2017,04,10858,-580.884,9976.121
2017-05,2017,05,11472,-82.46,10225.942
2017-06,2017,06,12120,391.904,10934.089
2017-07,2017,07,5802,-933.854,9116.396
2017-08,2017,08,4483,-1821.744,6702.725
2017-09,2017,09,9479,-718.22,6720.188
2017-10,2017,10,11213,532.428,8086.381
2017-11,2017,11,13081,1603.354,10403.685
2017-12,2017,12,9990,1119.264,11200.223
2018-01,2018,01,9294,393.147,11109.293
2018-02,2018,02,8047,-436.158,10120.264
2018-03,2018,03,12323,197.176,10739.663
2018-04,2018,04,13019,696.895,11769.704
2018-05,2018,05,14194,1111.471,13157.559
2018-06,2018,06,11291,396.744,13077.818
2018-07,2018,07,7634,-1004.991,11138.337
2018-08,2018,08,4432,-2373.314,7852.808
2018-09,2018,09,11776,-862.153,7998.096
2018-10,2018,10,17441,1611.061,11257.966
2018-11,2018,11,13964,1873.854,13307.016
2018-12,2018,12,10312,705.325,13233.322
2019-01,2019,01,10359,-153.79,12506.789
2019-02,2019,02,10506,-597.07,11614.199
2019-03,2019,03,12533,-233.261,11623.478
2019-04,2019,04,17231,1168.527,13726.53
2019-05,2019,05,14118,982.033,14584.234
2019-06,2019,06,14570,742.929,15167.761
2019-07,2019,07,10153,-638.916,13607.614
2019-08,2019,08,5665,-2391.804,10047.218
2019-09,2019,09,13404,-1012.143,9954.849
2019-10,2019,10,23430,2464.807,14737.623
2019-11,2019,11,19188,2941.344,17996.658
2019-12,2019,12,12608,942.143,17606.001
