,year,month,n_jams,bt,ct,"ES(0.5, 0.5, 0.3)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,61.312,0.926,7325
2015-03,2015,03,10172,30.656,1.205,10172
2015-04,2015,04,9598,15.328,1.34,9598
2015-05,2015,05,8608,7.664,1.292,8608
2015-06,2015,06,10218,3.832,1.269,10218
2015-07,2015,07,5080,1.916,0.736,5080
2015-08,2015,08,4570,0.958,0.503,4570
2015-09,2015,09,10751,0.479,1.232,10751
2015-10,2015,10,12661,0.24,1.683,12661
2015-11,2015,11,15565,0.12,1.678,15565
2015-12,2015,12,10572,0.06,1.139,10572
2016-01,2016,01,9100,-296.275,0.937,9979.391
2016-02,2016,02,8534,-412.471,0.905,9450.723
2016-03,2016,03,10933,-403.762,1.191,9055.669
2016-04,2016,04,12516,-232.045,1.353,8995.342
2016-05,2016,05,12558,6.981,1.323,9241.349
2016-06,2016,06,11645,-10.266,1.266,9213.837
2016-07,2016,07,6037,-259.763,0.712,8704.576
2016-08,2016,08,4578,-95.621,0.51,8773.098
2016-09,2016,09,12730,317.188,1.298,9503.094
2016-10,2016,10,14657,39.057,1.641,9264.02
2016-11,2016,11,17355,299.058,1.737,9823.079
2016-12,2016,12,10230,14.665,1.109,9553.351
2017-01,2017,01,8884,-6.622,0.935,9525.441
2017-02,2017,02,9259,172.585,0.925,9877.233
2017-03,2017,03,10882,-54.786,1.164,9595.076
2017-04,2017,04,10858,-433.262,1.286,8783.338
2017-05,2017,05,11472,-353.399,1.318,8509.803
2017-06,2017,06,12120,0.76,1.314,8864.721
2017-07,2017,07,5802,-177.149,0.694,8509.663
2017-08,2017,08,4483,-62.209,0.515,8562.394
2017-09,2017,09,9479,-361.631,1.241,7901.342
2017-10,2017,10,11213,-538.249,1.574,7186.474
2017-11,2017,11,13081,-317.135,1.762,7090.453
2017-12,2017,12,9990,240.628,1.199,7888.845
2018-01,2018,01,9294,693.888,1.008,9035.992
2018-02,2018,02,8047,436.713,0.915,9215.53
2018-03,2018,03,12323,670.57,1.216,10119.957
2018-04,2018,04,13019,502.986,1.286,10455.359
2018-05,2018,05,14194,455.509,1.33,10863.391
2018-06,2018,06,11291,-225.205,1.231,9957.473
2018-07,2018,07,7634,89.956,0.716,10362.588
2018-08,2018,08,4432,-371.555,0.489,9529.523
2018-09,2018,09,11776,-288.287,1.239,9324.504
2018-10,2018,10,17441,222.121,1.663,10057.034
2018-11,2018,11,13964,-366.018,1.65,9102.876
2018-12,2018,12,10312,-400.652,1.179,8667.59
2019-01,2019,01,10359,102.377,1.064,9272.996
2019-02,2019,02,10506,630.479,0.98,10431.577
2019-03,2019,03,12533,441.883,1.212,10684.865
2019-04,2019,04,17231,1008.76,1.384,12260.501
2019-05,2019,05,14118,345.299,1.276,11942.339
2019-06,2019,06,14570,231.726,1.228,12060.492
2019-07,2019,07,10153,703.161,0.754,13235.088
2019-08,2019,08,5665,116.123,0.471,12764.174
2019-09,2019,09,13404,-399.888,1.183,11848.275
2019-10,2019,10,23430,259.806,1.758,12767.775
2019-11,2019,11,19188,-89.304,1.606,12329.362
2019-12,2019,12,12608,-476.685,1.132,11465.295
