,year,month,n_jams,bt,ct,"ES(0.5, 0.3, 0.4)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,85.837,0.926,7325
2015-03,2015,03,10172,60.086,1.205,10172
2015-04,2015,04,9598,42.06,1.34,9598
2015-05,2015,05,8608,29.442,1.292,8608
2015-06,2015,06,10218,20.61,1.269,10218
2015-07,2015,07,5080,14.427,0.736,5080
2015-08,2015,08,4570,10.099,0.503,4570
2015-09,2015,09,10751,7.069,1.232,10751
2015-10,2015,10,12661,4.948,1.683,12661
2015-11,2015,11,15565,3.464,1.678,15565
2015-12,2015,12,10572,2.425,1.139,10572
2016-01,2016,01,9100,-175.731,0.926,9980.573
2016-02,2016,02,8534,-263.708,0.897,9511.586
2016-03,2016,03,10933,-289.926,1.183,9160.483
2016-04,2016,04,12516,-219.693,1.351,9104.667
2016-05,2016,05,12558,-94.529,1.327,9302.188
2016-06,2016,06,11645,-98.776,1.262,9193.501
2016-07,2016,07,6037,-232.148,0.704,8650.153
2016-08,2016,08,4578,-129.641,0.513,8759.694
2016-09,2016,09,12730,125.157,1.321,9479.382
2016-10,2016,10,14657,-9.36,1.628,9156.149
2016-11,2016,11,17355,170.084,1.765,9744.936
2016-12,2016,12,10230,30.516,1.103,9449.792
2017-01,2017,01,8884,47.596,0.932,9537.242
2017-02,2017,02,9259,157.365,0.927,9950.734
2017-03,2017,03,10882,21.214,1.147,9654.262
2017-04,2017,04,10858,-224.246,1.26,8857.277
2017-05,2017,05,11472,-222.392,1.314,8639.211
2017-06,2017,06,12120,-44.239,1.318,9010.661
2017-07,2017,07,5802,-153.148,0.68,8603.393
2017-08,2017,08,4483,-111.132,0.517,8590.298
2017-09,2017,09,9479,-306.493,1.234,7827.963
2017-10,2017,10,11213,-401.832,1.55,7203.672
2017-11,2017,11,13081,-310.37,1.785,7106.714
2017-12,2017,12,9990,28.645,1.224,7926.393
2018-01,2018,01,9294,331.786,1.028,8965.51
2018-02,2018,02,8047,239.548,0.915,8989.836
2018-03,2018,03,12323,466.555,1.237,9986.073
2018-04,2018,04,13019,448.215,1.278,10391.496
2018-05,2018,05,14194,442.267,1.335,10819.884
2018-06,2018,06,11291,37.66,1.208,9913.461
2018-07,2018,07,7634,228.916,0.716,10588.642
2018-08,2018,08,4432,-106.66,0.477,9698.972
2018-09,2018,09,11776,-113.897,1.226,9568.187
2018-10,2018,10,17441,155.781,1.659,10353.219
2018-11,2018,11,13964,-247.33,1.611,9165.294
2018-12,2018,12,10312,-321.438,1.185,8670.938
2019-01,2019,01,10359,-62.333,1.095,9213.184
2019-02,2019,02,10506,287.123,1.005,10315.704
2019-03,2019,03,12533,216.997,1.228,10369.073
2019-04,2019,04,17231,652.065,1.431,12036.299
2019-05,2019,05,14118,335.196,1.27,11632.134
2019-06,2019,06,14570,348.685,1.226,12012.293
2019-07,2019,07,10153,621.454,0.768,13270.209
2019-08,2019,08,5665,317.879,0.457,12879.746
2019-09,2019,09,13404,-21.762,1.152,12065.489
2019-10,2019,10,23430,289.953,1.772,13082.777
2019-11,2019,11,19188,70.977,1.553,12642.809
2019-12,2019,12,12608,-239.503,1.11,11678.852
