,year,month,n_jams,bt,ct,"ES(0.9, 0.9, 0.3)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,12.262,0.926,7325
2015-03,2015,03,10172,1.226,1.205,10172
2015-04,2015,04,9598,0.123,1.34,9598
2015-05,2015,05,8608,0.012,1.292,8608
2015-06,2015,06,10218,0.001,1.269,10218
2015-07,2015,07,5080,0.0,0.736,5080
2015-08,2015,08,4570,0.0,0.503,4570
2015-09,2015,09,10751,0.0,1.232,10751
2015-10,2015,10,12661,0.0,1.683,12661
2015-11,2015,11,15565,0.0,1.678,15565
2015-12,2015,12,10572,0.0,1.139,10572
2016-01,2016,01,9100,-960.076,0.937,9505.249
2016-02,2016,02,8534,-414.819,0.917,9151.014
2016-03,2016,03,10933,-141.936,1.202,9039.398
2016-04,2016,04,12516,215.53,1.354,9294.646
2016-05,2016,05,12558,385.002,1.31,9698.478
2016-06,2016,06,11645,-347.349,1.248,9269.757
2016-07,2016,07,6037,-927.979,0.71,8277.264
2016-08,2016,08,4578,491.221,0.518,8926.173
2016-09,2016,09,12730,1229.387,1.291,10237.579
2016-10,2016,10,14657,-1005.571,1.608,8983.679
2016-11,2016,11,17355,910.058,1.754,10106.585
2016-12,2016,12,10230,-735.925,1.101,9187.772
2017-01,2017,01,8884,99.201,0.946,9379.765
2017-02,2017,02,9259,596.458,0.938,10031.474
2017-03,2017,03,10882,-678.513,1.167,9211.297
2017-04,2017,04,10858,-1092.28,1.301,8073.043
2017-05,2017,05,11472,347.929,1.343,8580.996
2017-06,2017,06,12120,980.349,1.297,9631.613
2017-07,2017,07,5802,-999.702,0.678,8411.905
2017-08,2017,08,4483,6.175,0.522,8529.845
2017-09,2017,09,9479,-958.763,1.237,7463.867
2017-10,2017,10,11213,-578.693,1.576,6927.404
2017-11,2017,11,13081,319.319,1.794,7346.502
2017-12,2017,12,9990,1461.618,1.178,8935.043
2018-01,2018,01,9294,999.244,0.974,9882.912
2018-02,2018,02,8047,-868.652,0.901,8806.715
2018-03,2018,03,12323,1256.402,1.237,10299.234
2018-04,2018,04,13019,1.286,1.29,10161.063
2018-05,2018,05,14194,329.645,1.359,10527.192
2018-06,2018,06,11291,-1415.64,1.23,8917.631
2018-07,2018,07,7634,1628.232,0.731,10884.071
2018-08,2018,08,4432,-1636.045,0.488,8885.329
2018-09,2018,09,11776,204.381,1.263,9294.202
2018-10,2018,10,17441,1473.817,1.666,10909.068
2018-11,2018,11,13964,-2252.776,1.64,8242.226
2018-12,2018,12,10312,-16.266,1.2,8474.46
2019-01,2019,01,10359,1745.917,1.049,10416.176
2019-02,2019,02,10506,1338.658,0.933,11709.582
2019-03,2019,03,12533,-1020.529,1.187,10426.922
2019-04,2019,04,17231,2179.792,1.399,12962.306
2019-05,2019,05,14118,-1672.291,1.278,10862.006
2019-06,2019,06,14570,478.824,1.263,11579.842
2019-07,2019,07,10153,1955.311,0.775,13699.207
2019-08,2019,08,5665,-1320.117,0.466,12015.153
2019-09,2019,09,13404,-1389.109,1.219,10618.379
2019-10,2019,10,23430,2525.028,1.828,13578.312
2019-11,2019,11,19188,-1042.049,1.572,12139.921
2019-12,2019,12,12608,-1522.638,1.152,10563.884
