,year,month,n_jams,bt,"ES(0.6, 0.5)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,315.1,8725.2
2015-04,2015,04,9598,482.41,9374.92
2015-05,2015,05,8608,107.611,9107.732
2015-06,2015,06,10218,408.408,9816.937
2015-07,2015,07,5080,-1135.195,7138.138
2015-08,2015,08,4570,-1565.078,5143.177
2015-09,2015,09,10751,586.792,7881.84
2015-10,2015,10,12661,1844.503,10984.053
2015-11,2015,11,15565,2665.436,14470.422
2015-12,2015,12,10572,696.279,13197.543
2016-01,2016,01,9100,-741.868,11017.529
2016-02,2016,02,8534,-1264.366,9230.664
2016-03,2016,03,10933,-374.356,9746.319
2016-04,2016,04,12516,568.855,11258.385
2016-05,2016,05,12558,788.083,12265.696
2016-06,2016,06,11645,365.449,12208.512
2016-07,2016,07,6037,-1595.639,8651.784
2016-08,2016,08,4578,-2339.083,5569.258
2016-09,2016,09,12730,510.865,8930.07
2016-10,2016,10,14657,2075.684,12570.574
2016-11,2016,11,17355,2888.307,16271.503
2016-12,2016,12,10230,209.364,13801.924
2017-01,2017,01,8884,-1328.823,10934.915
2017-02,2017,02,9259,-1432.95,9397.837
2017-03,2017,03,10882,-557.816,9715.155
2017-04,2017,04,10858,-47.618,10177.735
2017-05,2017,05,11472,354.947,10935.247
2017-06,2017,06,12120,603.889,11788.078
2017-07,2017,07,5802,-1373.101,8437.987
2017-08,2017,08,4483,-2147.667,5515.754
2017-09,2017,09,9479,-314.393,7034.635
2017-10,2017,10,11213,1033.434,9415.897
2017-11,2017,11,13081,1822.935,12028.332
2017-12,2017,12,9990,664.555,11534.507
2018-01,2018,01,9294,-206.964,10456.025
2018-02,2018,02,8047,-867.582,8927.824
2018-03,2018,03,12323,411.245,10617.897
2018-04,2018,04,13019,1008.203,12223.057
2018-05,2018,05,14194,1297.025,13808.904
2018-06,2018,06,11291,152.546,12816.971
2018-07,2018,07,7634,-1448.109,9768.207
2018-08,2018,08,4432,-2614.538,5987.239
2018-09,2018,09,11776,-93.549,8414.68
2018-10,2018,10,17441,2642.412,13793.053
2018-11,2018,11,13964,1900.972,14952.586
2018-12,2018,12,10312,-61.495,12928.623
2019-01,2019,01,10359,-813.933,11362.251
2019-02,2019,02,10506,-826.629,10522.927
2019-03,2019,03,12533,24.382,11398.319
2019-04,2019,04,17231,1766.871,14907.68
2019-05,2019,05,14118,999.906,15140.621
2019-06,2019,06,14570,528.748,15198.211
2019-07,2019,07,10153,-1143.44,12382.583
2019-08,2019,08,5665,-2815.683,7894.657
2019-09,2019,09,13404,-318.175,10073.99
2019-10,2019,10,23430,3784.08,17960.326
2019-11,2019,11,19188,3017.159,20210.563
2019-12,2019,12,12608,-168.758,16855.888
