,year,month,n_jams,bt,ct,"ES(0.7, 0.2, 0.3)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,98.1,0.926,7325
2015-03,2015,03,10172,78.48,1.205,10172
2015-04,2015,04,9598,62.784,1.34,9598
2015-05,2015,05,8608,50.227,1.292,8608
2015-06,2015,06,10218,40.182,1.269,10218
2015-07,2015,07,5080,32.145,0.736,5080
2015-08,2015,08,4570,25.716,0.503,4570
2015-09,2015,09,10751,20.573,1.232,10751
2015-10,2015,10,12661,16.458,1.683,12661
2015-11,2015,11,15565,13.167,1.678,15565
2015-12,2015,12,10572,10.533,1.139,10572
2016-01,2016,01,9100,-156.88,0.937,9745.465
2016-02,2016,02,8534,-208.716,0.911,9329.406
2016-03,2016,03,10933,-215.38,1.195,9087.368
2016-04,2016,04,12516,-150.03,1.351,9198.741
2016-05,2016,05,12558,-56.133,1.314,9518.194
2016-06,2016,06,11645,-95.714,1.255,9264.158
2016-07,2016,07,6037,-230.515,0.71,8494.44
2016-08,2016,08,4578,-113.271,0.514,8850.146
2016-09,2016,09,12730,109.586,1.294,9851.16
2016-10,2016,10,14657,-65.832,1.625,9083.655
2016-11,2016,11,17355,119.704,1.748,9945.504
2016-12,2016,12,10230,-31.586,1.106,9308.758
2017-01,2017,01,8884,-2.789,0.942,9421.158
2017-02,2017,02,9259,101.941,0.932,9942.018
2017-03,2017,03,10882,-29.399,1.165,9387.259
2017-04,2017,04,10858,-214.602,1.293,8431.842
2017-05,2017,05,11472,-142.728,1.328,8576.613
2017-06,2017,06,12120,28.495,1.302,9290.0
2017-07,2017,07,5802,-132.841,0.685,8511.817
2017-08,2017,08,4483,-84.33,0.518,8621.53
2017-09,2017,09,9479,-254.194,1.236,7687.877
2017-10,2017,10,11213,-328.63,1.575,7061.504
2017-11,2017,11,13081,-223.391,1.779,7259.072
2017-12,2017,12,9990,56.611,1.187,8435.689
2018-01,2018,01,9294,248.81,0.99,9453.295
2018-02,2018,02,8047,98.831,0.908,8952.211
2018-03,2018,03,12323,312.68,1.228,10120.286
2018-04,2018,04,13019,261.765,1.291,10178.392
2018-05,2018,05,14194,296.54,1.348,10614.032
2018-06,2018,06,11291,-17.307,1.231,9341.337
2018-07,2018,07,7634,238.219,0.724,10601.662
2018-08,2018,08,4432,-80.72,0.488,9245.184
2018-09,2018,09,11776,-29.698,1.247,9419.574
2018-10,2018,10,17441,206.247,1.658,10569.6
2018-11,2018,11,13964,-203.548,1.642,8726.871
2018-12,2018,12,10312,-180.359,1.185,8639.269
2019-01,2019,01,10359,100.307,1.053,9862.239
2019-02,2019,02,10506,325.382,0.955,11087.923
2019-03,2019,03,12533,155.905,1.199,10565.919
2019-04,2019,04,17231,523.451,1.393,12559.555
2019-05,2019,05,14118,158.166,1.281,11256.582
2019-06,2019,06,14570,217.298,1.25,11710.405
2019-07,2019,07,10153,509.442,0.767,13388.426
2019-08,2019,08,5665,189.71,0.468,12299.209
2019-09,2019,09,13404,-54.115,1.2,11269.79
2019-10,2019,10,23430,354.316,1.784,13257.833
2019-11,2019,11,19188,84.878,1.583,12264.956
2019-12,2019,12,12608,-154.856,1.138,11151.164
