,year,month,n_jams,bt,ct,"ES(0.8, 0.3, 0.4)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,85.837,0.926,7325
2015-03,2015,03,10172,60.086,1.205,10172
2015-04,2015,04,9598,42.06,1.34,9598
2015-05,2015,05,8608,29.442,1.292,8608
2015-06,2015,06,10218,20.61,1.269,10218
2015-07,2015,07,5080,14.427,0.736,5080
2015-08,2015,08,4570,10.099,0.503,4570
2015-09,2015,09,10751,7.069,1.232,10751
2015-10,2015,10,12661,4.948,1.683,12661
2015-11,2015,11,15565,3.464,1.678,15565
2015-12,2015,12,10572,2.425,1.139,10572
2016-01,2016,01,9100,-282.624,0.926,9624.262
2016-02,2016,02,8534,-312.218,0.91,9242.991
2016-03,2016,03,10933,-278.063,1.196,9044.624
2016-04,2016,04,12516,-140.731,1.358,9224.335
2016-05,2016,05,12558,11.86,1.32,9592.242
2016-06,2016,06,11645,-90.082,1.247,9264.295
2016-07,2016,07,6037,-322.553,0.702,8399.308
2016-08,2016,08,4578,-76.642,0.52,8896.457
2016-09,2016,09,12730,285.493,1.312,10026.931
2016-10,2016,10,14657,-99.627,1.595,9028.692
2016-11,2016,11,17355,239.737,1.776,10060.278
2016-12,2016,12,10230,-75.971,1.09,9247.655
2017-01,2017,01,8884,25.427,0.94,9509.677
2017-02,2017,02,9259,178.546,0.936,10045.5
2017-03,2017,03,10882,-91.788,1.151,9322.934
2017-04,2017,04,10858,-387.833,1.28,8244.329
2017-05,2017,05,11472,-187.246,1.348,8525.119
2017-06,2017,06,12120,144.74,1.317,9444.493
2017-07,2017,07,5802,-173.335,0.667,8528.985
2017-08,2017,08,4483,-108.89,0.522,8570.464
2017-09,2017,09,9479,-405.513,1.23,7472.833
2017-10,2017,10,11213,-414.058,1.557,7038.836
2017-11,2017,11,13081,-235.946,1.809,7218.486
2017-12,2017,12,9990,288.04,1.208,8729.157
2018-01,2018,01,9294,497.208,0.99,9714.426
2018-02,2018,02,8047,110.757,0.893,8923.463
2018-03,2018,03,12323,512.094,1.243,10372.009
2018-04,2018,04,13019,340.106,1.27,10310.812
2018-05,2018,05,14194,310.115,1.36,10550.947
2018-06,2018,06,11291,-238.536,1.218,9032.225
2018-07,2018,07,7634,397.914,0.738,10915.19
2018-08,2018,08,4432,-280.071,0.476,9053.153
2018-09,2018,09,11776,-86.95,1.258,9416.819
2018-10,2018,10,17441,362.316,1.675,10827.424
2018-11,2018,11,13964,-470.358,1.601,8414.158
2018-12,2018,12,10312,-327.332,1.215,8420.554
2019-01,2019,01,10359,242.081,1.086,9991.266
2019-02,2019,02,10506,610.688,0.956,11462.038
2019-03,2019,03,12533,133.162,1.183,10480.972
2019-04,2019,04,17231,841.114,1.42,12973.972
2019-05,2019,05,14118,17.398,1.251,11069.366
2019-06,2019,06,14570,227.285,1.257,11786.387
2019-07,2019,07,10153,644.592,0.788,13404.697
2019-08,2019,08,5665,130.872,0.454,12336.889
2019-09,2019,09,13404,-304.218,1.189,11017.46
2019-10,2019,10,23430,481.672,1.856,13332.877
2019-11,2019,11,19188,42.361,1.536,12350.179
2019-12,2019,12,12608,-440.846,1.137,10781.851
