,year,month,n_jams,bt,"ES(0.5, 0.5)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,134.25,8363.5
2015-04,2015,04,9598,409.312,9047.875
2015-05,2015,05,8608,197.016,9032.594
2015-06,2015,06,10218,444.113,9723.805
2015-07,2015,07,5080,-827.866,7623.959
2015-08,2015,08,4570,-1384.389,5683.046
2015-09,2015,09,10751,228.696,7524.828
2015-10,2015,10,12661,1455.565,10207.262
2015-11,2015,11,15565,2431.108,13613.914
2015-12,2015,12,10572,1062.853,13308.511
2016-01,2016,01,9100,-254.988,11735.682
2016-02,2016,02,8534,-991.662,10007.347
2016-03,2016,03,10933,-512.333,9974.343
2016-04,2016,04,12516,251.165,10989.005
2016-05,2016,05,12558,580.622,11899.085
2016-06,2016,06,11645,371.946,12062.354
2016-07,2016,07,6037,-1227.379,9235.65
2016-08,2016,08,4578,-2084.947,6293.135
2016-09,2016,09,12730,45.506,8469.094
2016-10,2016,10,14657,1581.106,11585.8
2016-11,2016,11,17355,2628.129,15260.953
2016-12,2016,12,10230,713.359,14059.541
2017-01,2017,01,8884,-758.866,11828.45
2017-02,2017,02,9259,-1211.512,10164.292
2017-03,2017,03,10882,-729.207,9917.39
2017-04,2017,04,10858,-311.753,10023.091
2017-05,2017,05,11472,128.413,10591.669
2017-06,2017,06,12120,478.392,11420.041
2017-07,2017,07,5802,-1045.716,8850.217
2017-08,2017,08,4483,-1876.091,6143.75
2017-09,2017,09,9479,-573.256,6873.329
2017-10,2017,10,11213,654.976,8756.537
2017-11,2017,11,13081,1572.348,11246.256
2017-12,2017,12,9990,865.197,11404.302
2018-01,2018,01,9294,121.322,10781.749
2018-02,2018,02,8047,-592.696,9475.036
2018-03,2018,03,12323,267.469,10602.67
2018-04,2018,04,13019,804.684,11944.57
2018-05,2018,05,14194,1165.871,13471.627
2018-06,2018,06,11291,329.246,12964.249
2018-07,2018,07,7634,-1085.627,10463.748
2018-08,2018,08,4432,-2322.157,6905.06
2018-09,2018,09,11776,-523.883,8179.451
2018-10,2018,10,17441,1922.475,12548.284
2018-11,2018,11,13964,1795.785,14217.379
2018-12,2018,12,10312,370.494,13162.582
2019-01,2019,01,10359,-423.025,11946.038
2019-02,2019,02,10506,-677.278,11014.506
2019-03,2019,03,12533,-128.335,11435.114
2019-04,2019,04,17231,1352.72,14268.889
2019-05,2019,05,14118,976.818,14869.805
2019-06,2019,06,14570,657.662,15208.311
2019-07,2019,07,10153,-770.581,13009.487
2019-08,2019,08,5665,-2414.058,8951.953
2019-09,2019,09,13404,-697.531,9970.948
2019-10,2019,10,23430,2841.615,16351.708
2019-11,2019,11,19188,2840.284,19190.661
2019-12,2019,12,12608,484.548,17319.473
