,year,month,n_jams,bt,ct,"ES(0.3, 0.3, 0.7)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,85.837,0.926,7325
2015-03,2015,03,10172,60.086,1.205,10172
2015-04,2015,04,9598,42.06,1.34,9598
2015-05,2015,05,8608,29.442,1.292,8608
2015-06,2015,06,10218,20.61,1.269,10218
2015-07,2015,07,5080,14.427,0.736,5080
2015-08,2015,08,4570,10.099,0.503,4570
2015-09,2015,09,10751,7.069,1.232,10751
2015-10,2015,10,12661,4.948,1.683,12661
2015-11,2015,11,15565,3.464,1.678,15565
2015-12,2015,12,10572,2.425,1.139,10572
2016-01,2016,01,9100,-104.469,0.893,10218.114
2016-02,2016,02,8534,-185.047,0.862,9845.05
2016-03,2016,03,10933,-237.869,1.139,9483.929
2016-04,2016,04,12516,-229.525,1.326,9273.875
2016-05,2016,05,12558,-168.77,1.336,9246.865
2016-06,2016,06,11645,-159.658,1.262,9108.47
2016-07,2016,07,6037,-226.549,0.685,8725.843
2016-08,2016,08,4578,-172.361,0.518,8679.921
2016-09,2016,09,12730,-8.457,1.396,9053.905
2016-10,2016,10,14657,-38.849,1.638,8944.141
2016-11,2016,11,17355,90.552,1.862,9336.629
2016-12,2016,12,10230,50.716,1.109,9294.396
2017-01,2017,01,8884,104.648,0.937,9524.885
2017-02,2017,02,9259,204.306,0.939,9961.726
2017-03,2017,03,10882,149.334,1.106,9982.791
2017-04,2017,04,10858,-25.511,1.159,9549.308
2017-05,2017,05,11472,-109.552,1.242,9243.661
2017-06,2017,06,12120,-67.365,1.296,9274.732
2017-07,2017,07,5802,-133.352,0.643,8987.409
2017-08,2017,08,4483,-151.55,0.505,8793.4
2017-09,2017,09,9479,-318.367,1.173,8085.792
2017-10,2017,10,11213,-401.398,1.462,7490.654
2017-11,2017,11,13081,-407.039,1.781,7070.455
2017-12,2017,12,9990,-195.697,1.322,7367.887
2018-01,2018,01,9294,51.408,1.164,7995.873
2018-02,2018,02,8047,98.293,0.986,8203.566
2018-03,2018,03,12323,353.609,1.383,9152.913
2018-04,2018,04,13019,508.877,1.343,10024.081
2018-05,2018,05,14194,589.799,1.364,10802.699
2018-06,2018,06,11291,348.296,1.121,10587.488
2018-07,2018,07,7634,432.1,0.698,11215.13
2018-08,2018,08,4432,174.317,0.428,10787.954
2018-09,2018,09,11776,90.867,1.116,10684.103
2018-10,2018,10,17441,194.649,1.581,11120.91
2018-11,2018,11,13964,-118.067,1.413,10273.172
2018-12,2018,12,10312,-329.795,1.099,9449.346
2019-01,2019,01,10359,-349.687,1.117,9053.245
2019-02,2019,02,10506,-174.261,1.108,9288.31
2019-03,2019,03,12533,-179.167,1.36,9097.698
2019-04,2019,04,17231,172.533,1.729,10090.865
2019-05,2019,05,14118,180.592,1.388,10290.26
2019-06,2019,06,14570,408.415,1.327,11230.263
2019-07,2019,07,10153,670.59,0.842,12512.593
2019-08,2019,08,5665,675.314,0.445,13198.929
2019-09,2019,09,13404,507.447,1.046,13314.686
2019-10,2019,10,23430,596.935,1.706,14120.427
2019-11,2019,11,19188,494.339,1.375,14375.376
2019-12,2019,12,12608,188.445,0.944,13850.068
