,year,month,n_jams,bt,"ES(0.6, 0.3)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,-118.94,8725.2
2015-04,2015,04,9598,59.573,9201.304
2015-05,2015,05,8608,-57.945,8869.151
2015-06,2015,06,10218,195.278,9655.282
2015-07,2015,07,5080,-663.423,6988.224
2015-08,2015,08,4570,-979.287,5271.921
2015-09,2015,09,10751,183.219,8167.653
2015-10,2015,10,12661,959.042,10936.949
2015-11,2015,11,15565,1619.464,14097.396
2015-12,2015,12,10572,693.389,12629.944
2016-01,2016,01,9100,-66.811,10789.333
2016-02,2016,02,8534,-460.745,9409.409
2016-03,2016,03,10933,-103.565,10139.265
2016-04,2016,04,12516,342.889,11523.88
2016-05,2016,05,12558,467.311,12281.508
2016-06,2016,06,11645,268.623,12086.527
2016-07,2016,07,6037,-868.644,8564.26
2016-08,2016,08,4578,-1429.815,5825.047
2016-09,2016,09,12730,70.444,9396.093
2016-10,2016,10,14657,1004.727,12580.815
2016-11,2016,11,17355,1683.23,15847.217
2016-12,2016,12,10230,369.149,13150.178
2017-01,2017,01,8884,-465.21,10738.131
2017-02,2017,02,9259,-647.716,9664.569
2017-03,2017,03,10882,-311.989,10135.941
2017-04,2017,04,10858,-125.86,10444.381
2017-05,2017,05,11472,81.766,11010.608
2017-06,2017,06,12120,266.739,11708.95
2017-07,2017,07,5802,-844.525,8271.475
2017-08,2017,08,4483,-1374.436,5660.58
2017-09,2017,09,9479,-439.722,7401.857
2017-10,2017,10,11213,325.433,9512.654
2017-11,2017,11,13081,909.158,11783.835
2017-12,2017,12,9990,422.619,11071.197
2018-01,2018,01,9294,26.652,10173.926
2018-02,2018,02,8047,-360.992,8908.431
2018-03,2018,03,12323,318.609,10812.776
2018-04,2018,04,13019,658.38,12263.954
2018-05,2018,05,14194,887.28,13685.333
2018-06,2018,06,11291,296.589,12603.645
2018-07,2018,07,7634,-651.333,9740.494
2018-08,2018,08,4432,-1489.622,6294.864
2018-09,2018,09,11776,-234.886,8987.697
2018-10,2018,10,17441,1328.988,13965.725
2018-11,2018,11,13964,1089.46,14496.285
2018-12,2018,12,10312,140.186,12421.498
2019-01,2019,01,10359,-256.297,11240.074
2019-02,2019,02,10506,-342.297,10697.111
2019-03,2019,03,12533,49.777,11661.725
2019-04,2019,04,17231,1043.286,15023.201
2019-05,2019,05,14118,692.559,14897.395
2019-06,2019,06,14570,508.967,14977.981
2019-07,2019,07,10153,-451.144,12286.579
2019-08,2019,08,5665,-1561.822,8133.174
2019-09,2019,09,13404,-331.946,10670.941
2019-10,2019,10,23430,2024.435,18193.598
2019-11,2019,11,19188,1839.029,19600.013
2019-12,2019,12,12608,249.442,16140.417
