,year,month,n_jams,bt,"ES(0.6, 0.4)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,98.08,8725.2
2015-04,2015,04,9598,284.013,9288.112
2015-05,2015,05,8608,52.623,8993.65
2015-06,2015,06,10218,333.837,9749.309
2015-07,2015,07,5080,-866.918,7081.259
2015-08,2015,08,4570,-1261.56,5227.736
2015-09,2015,09,10751,366.798,8037.071
2015-10,2015,10,12661,1388.51,10958.147
2015-11,2015,11,15565,2160.912,14277.663
2015-12,2015,12,10572,752.934,12918.63
2016-01,2016,01,9100,-344.241,10928.626
2016-02,2016,02,8534,-836.334,9354.154
2016-03,2016,03,10933,-256.69,9966.928
2016-04,2016,04,12516,416.693,11393.695
2016-05,2016,05,12558,596.12,12258.955
2016-06,2016,06,11645,305.702,12129.03
2016-07,2016,07,6037,-1229.754,8596.093
2016-08,2016,08,4578,-1898.955,5693.335
2016-09,2016,09,12730,245.594,9155.752
2016-10,2016,10,14657,1506.951,12554.738
2016-11,2016,11,17355,2297.345,16037.676
2016-12,2016,12,10230,352.14,13472.008
2017-01,2017,01,8884,-833.495,10860.059
2017-02,2017,02,9259,-1017.711,9566.026
2017-03,2017,03,10882,-457.626,9948.526
2017-04,2017,04,10858,-129.522,10311.16
2017-05,2017,05,11472,180.165,10955.855
2017-06,2017,06,12120,416.32,11726.408
2017-07,2017,07,5802,-1105.455,8338.291
2017-08,2017,08,4483,-1765.415,5582.935
2017-09,2017,09,9479,-406.66,7214.408
2017-10,2017,10,11213,650.601,9450.899
2017-11,2017,11,13081,1365.681,11889.2
2017-12,2017,12,9990,582.109,11295.952
2018-01,2018,01,9294,-38.065,10327.625
2018-02,2018,02,8047,-576.28,8944.024
2018-03,2018,03,12323,372.982,10740.898
2018-04,2018,04,13019,830.211,12256.952
2018-05,2018,05,14194,1095.852,13751.265
2018-06,2018,06,11291,242.384,12713.447
2018-07,2018,07,7634,-1034.856,9762.732
2018-08,2018,08,4432,-2065.866,6150.351
2018-09,2018,09,11776,-219.902,8699.394
2018-10,2018,10,17441,1930.86,13856.397
2018-11,2018,11,13964,1493.278,14693.303
2018-12,2018,12,10312,83.379,12661.832
2019-01,2019,01,10359,-489.312,11313.484
2019-02,2019,02,10506,-565.673,10633.269
2019-03,2019,03,12533,26.024,11546.838
2019-04,2019,04,17231,1383.977,14967.745
2019-05,2019,05,14118,847.884,15011.489
2019-06,2019,06,14570,538.434,15085.749
2019-07,2019,07,10153,-774.65,12341.473
2019-08,2019,08,5665,-2191.087,8025.729
2019-09,2019,09,13404,-374.441,10376.257
2019-10,2019,10,23430,2848.323,18058.726
2019-11,2019,11,19188,2435.751,19875.62
2019-12,2019,12,12608,106.942,16489.348
