,year,month,n_jams,bt,ct,"ES(0.7, 0.2, 0.6)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,98.1,0.926,7325
2015-03,2015,03,10172,78.48,1.205,10172
2015-04,2015,04,9598,62.784,1.34,9598
2015-05,2015,05,8608,50.227,1.292,8608
2015-06,2015,06,10218,40.182,1.269,10218
2015-07,2015,07,5080,32.145,0.736,5080
2015-08,2015,08,4570,25.716,0.503,4570
2015-09,2015,09,10751,20.573,1.232,10751
2015-10,2015,10,12661,16.458,1.683,12661
2015-11,2015,11,15565,13.167,1.678,15565
2015-12,2015,12,10572,10.533,1.139,10572
2016-01,2016,01,9100,-156.88,0.904,9745.465
2016-02,2016,02,8534,-208.716,0.896,9329.406
2016-03,2016,03,10933,-215.38,1.185,9087.368
2016-04,2016,04,12516,-150.03,1.362,9198.741
2016-05,2016,05,12558,-56.133,1.336,9518.194
2016-06,2016,06,11645,-95.714,1.242,9264.158
2016-07,2016,07,6037,-230.515,0.685,8494.44
2016-08,2016,08,4578,-113.271,0.525,8850.146
2016-09,2016,09,12730,109.586,1.356,9851.16
2016-10,2016,10,14657,-65.832,1.566,9083.655
2016-11,2016,11,17355,119.704,1.818,9945.504
2016-12,2016,12,10230,-31.586,1.073,9308.758
2017-01,2017,01,8884,45.085,0.934,9660.526
2017-02,2017,02,9259,133.472,0.933,10147.544
2017-03,2017,03,10882,-20.373,1.117,9511.793
2017-04,2017,04,10858,-233.459,1.23,8425.991
2017-05,2017,05,11472,-178.198,1.351,8468.835
2017-06,2017,06,12120,27.834,1.355,9320.796
2017-07,2017,07,5802,-95.646,0.648,8731.233
2017-08,2017,08,4483,-108.169,0.518,8572.97
2017-09,2017,09,9479,-314.606,1.206,7432.616
2017-10,2017,10,11213,-308.683,1.532,7147.626
2017-11,2017,11,13081,-258.53,1.825,7089.707
2017-12,2017,12,9990,89.026,1.274,8568.958
2018-01,2018,01,9294,269.539,1.024,9560.547
2018-02,2018,02,8047,100.356,0.878,8984.171
2018-03,2018,03,12323,372.373,1.27,10444.615
2018-04,2018,04,13019,339.948,1.24,10654.86
2018-05,2018,05,14194,271.257,1.34,10651.352
2018-06,2018,06,11291,-91.554,1.178,9108.556
2018-07,2018,07,7634,296.409,0.762,10956.816
2018-08,2018,08,4432,-80.956,0.45,9366.402
2018-09,2018,09,11776,-13.686,1.237,9621.793
2018-10,2018,10,17441,235.452,1.7,10853.799
2018-11,2018,11,13964,-245.878,1.502,8682.601
2018-12,2018,12,10312,-294.273,1.222,8194.749
2019-01,2019,01,10359,15.246,1.168,9448.07
2019-02,2019,02,10506,364.925,1.019,11211.713
2019-03,2019,03,12533,125.817,1.179,10381.097
2019-04,2019,04,17231,600.521,1.492,12880.432
2019-05,2019,05,14118,188.415,1.194,11420.423
2019-06,2019,06,14570,294.543,1.237,12139.481
2019-07,2019,07,10153,419.388,0.807,13058.245
2019-08,2019,08,5665,295.531,0.44,12858.349
2019-09,2019,09,13404,-28.601,1.12,11533.22
2019-10,2019,10,23430,290.031,1.899,13097.778
2019-11,2019,11,19188,204.276,1.48,12959.035
2019-12,2019,12,12608,-194.603,1.073,11168.914
