,year,month,n_jams,bt,ct,"ES(0.5, 0.7, 0.4)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,36.788,0.926,7325
2015-03,2015,03,10172,11.036,1.205,10172
2015-04,2015,04,9598,3.311,1.34,9598
2015-05,2015,05,8608,0.993,1.292,8608
2015-06,2015,06,10218,0.298,1.269,10218
2015-07,2015,07,5080,0.089,0.736,5080
2015-08,2015,08,4570,0.027,0.503,4570
2015-09,2015,09,10751,0.008,1.232,10751
2015-10,2015,10,12661,0.002,1.683,12661
2015-11,2015,11,15565,0.001,1.678,15565
2015-12,2015,12,10572,0.0,1.139,10572
2016-01,2016,01,9100,-414.847,0.926,9979.361
2016-02,2016,02,8534,-536.012,0.898,9391.421
2016-03,2016,03,10933,-459.825,1.189,8964.249
2016-04,2016,04,12516,-167.801,1.363,8921.601
2016-05,2016,05,12558,170.16,1.338,9236.601
2016-06,2016,06,11645,90.564,1.265,9293.052
2016-07,2016,07,6037,-321.748,0.701,8794.598
2016-08,2016,08,4578,-101.762,0.51,8787.116
2016-09,2016,09,12730,473.413,1.319,9507.033
2016-10,2016,10,14657,27.972,1.627,9344.102
2016-11,2016,11,17355,367.825,1.75,9857.578
2016-12,2016,12,10230,-66.468,1.098,9604.984
2017-01,2017,01,8884,-46.987,0.926,9566.346
2017-02,2017,02,9259,231.891,0.926,9917.755
2017-03,2017,03,10882,-116.274,1.152,9652.268
2017-04,2017,04,10858,-664.898,1.268,8752.245
2017-05,2017,05,11472,-495.18,1.327,8329.801
2017-06,2017,06,12120,114.834,1.341,8706.069
2017-07,2017,07,5802,-76.783,0.687,8547.165
2017-08,2017,08,4483,35.037,0.516,8630.125
2017-09,2017,09,9479,-482.449,1.231,7925.897
2017-10,2017,10,11213,-674.934,1.542,7168.469
2017-11,2017,11,13081,-331.005,1.78,6984.861
2017-12,2017,12,9990,523.748,1.231,7874.933
2018-01,2018,01,9294,1098.725,1.027,9220.076
2018-02,2018,02,8047,529.772,0.905,9506.012
2018-03,2018,03,12323,760.948,1.21,10366.034
2018-04,2018,04,13019,461.391,1.263,10699.044
2018-05,2018,05,14194,298.206,1.327,10927.314
2018-06,2018,06,11291,-684.409,1.218,9821.784
2018-07,2018,07,7634,4.806,0.723,10121.968
2018-08,2018,08,4432,-532.267,0.485,9359.526
2018-09,2018,09,11776,-272.904,1.242,9197.779
2018-10,2018,10,17441,562.482,1.684,10118.283
2018-11,2018,11,13964,-429.642,1.62,9263.445
2018-12,2018,12,10312,-589.702,1.184,8605.147
2019-01,2019,01,10359,133.79,1.098,9049.005
2019-02,2019,02,10506,985.125,1.007,10398.988
2019-03,2019,03,12533,626.58,1.208,10871.905
2019-04,2019,04,17231,1377.533,1.392,12571.275
2019-05,2019,05,14118,219.052,1.245,12293.835
2019-06,2019,06,14570,26.035,1.205,12237.148
2019-07,2019,07,10153,646.851,0.766,13150.063
2019-08,2019,08,5665,-90.812,0.463,12743.11
2019-09,2019,09,13404,-740.945,1.166,11723.537
2019-10,2019,10,23430,285.957,1.81,12449.595
2019-11,2019,11,19188,-25.597,1.588,12290.475
2019-12,2019,12,12608,-591.012,1.121,11457.142
