,year,month,n_jams,bt,"ES(0.6, 0.6)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,532.12,8725.2
2015-04,2015,04,9598,654.765,9461.728
2015-05,2015,05,8608,111.707,9211.397
2015-06,2015,06,10218,433.87,9860.042
2015-07,2015,07,5080,-1443.138,7165.565
2015-08,2015,08,4570,-1858.012,5030.97
2015-09,2015,09,10751,870.083,7719.783
2015-10,2015,10,12661,2335.691,11032.547
2015-11,2015,11,15565,3126.526,14686.295
2015-12,2015,12,10572,519.83,13468.328
2016-01,2016,01,9100,-1239.907,11055.263
2016-02,2016,02,8534,-1701.195,9046.543
2016-03,2016,03,10933,-409.64,9497.939
2016-04,2016,04,12516,824.332,11144.919
2016-05,2016,05,12558,1036.282,12322.501
2016-06,2016,06,11645,419.32,12330.513
2016-07,2016,07,6037,-1997.3,8722.133
2016-08,2016,08,4578,-2770.16,5436.733
2016-09,2016,09,12730,852.674,8704.629
2016-10,2016,10,14657,2688.565,12617.121
2016-11,2016,11,17355,3426.318,16535.274
2016-12,2016,12,10230,-77.055,14122.637
2017-01,2017,01,8884,-1935.225,10948.633
2017-02,2017,02,9259,-1846.812,9160.763
2017-03,2017,03,10882,-562.314,9454.781
2017-04,2017,04,10858,145.278,10071.787
2017-05,2017,05,11472,597.055,10970.026
2017-06,2017,06,12120,796.106,11898.832
2017-07,2017,07,5802,-1685.352,8559.175
2017-08,2017,08,4483,-2546.048,5439.329
2017-09,2017,09,9479,-175.189,6844.712
2017-10,2017,10,11213,1460.462,9395.609
2017-11,2017,11,13081,2261.437,12191.029
2017-12,2017,12,9990,654.949,11774.986
2018-01,2018,01,9294,-473.988,10548.374
2018-02,2018,02,8047,-1203.847,8857.955
2018-03,2018,03,12323,476.954,10455.443
2018-04,2018,04,13019,1228.131,12184.359
2018-05,2018,05,14194,1509.475,13881.396
2018-06,2018,06,11291,33.521,12930.948
2018-07,2018,07,7634,-1885.448,9766.188
2018-08,2018,08,4432,-3126.994,5811.496
2018-09,2018,09,11776,145.945,8139.401
2018-10,2018,10,17441,3441.981,13778.738
2018-11,2018,11,13964,2269.562,15266.688
2018-12,2018,12,10312,-331.168,13201.7
2019-01,2019,01,10359,-1235.319,11363.613
2019-02,2019,02,10506,-1099.345,10354.917
2019-03,2019,03,12533,80.529,11222.029
2019-04,2019,04,17231,2214.768,14859.623
2019-05,2019,05,14118,1150.467,15300.557
2019-06,2019,06,14570,473.299,15322.41
2019-07,2019,07,10153,-1558.076,12410.083
2019-08,2019,08,5665,-3425.399,7739.803
2019-09,2019,09,13404,-153.144,9768.162
2019-10,2019,10,23430,4820.25,17904.007
2019-11,2019,11,19188,3547.197,20602.503
2019-12,2019,12,12608,-607.815,17224.68
