,year,month,n_jams,bt,ct,"ES(0.5, 0.4, 0.5)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,73.575,0.926,7325
2015-03,2015,03,10172,44.145,1.205,10172
2015-04,2015,04,9598,26.487,1.34,9598
2015-05,2015,05,8608,15.892,1.292,8608
2015-06,2015,06,10218,9.535,1.269,10218
2015-07,2015,07,5080,5.721,0.736,5080
2015-08,2015,08,4570,3.433,0.503,4570
2015-09,2015,09,10751,2.06,1.232,10751
2015-10,2015,10,12661,1.236,1.683,12661
2015-11,2015,11,15565,0.741,1.678,15565
2015-12,2015,12,10572,0.445,1.139,10572
2016-01,2016,01,9100,-236.7,0.915,9979.583
2016-02,2016,02,8534,-341.611,0.89,9480.606
2016-03,2016,03,10933,-354.792,1.179,9106.042
2016-04,2016,04,12516,-237.287,1.357,9045.014
2016-05,2016,05,12558,-54.952,1.34,9263.564
2016-06,2016,06,11645,-60.806,1.263,9193.978
2016-07,2016,07,6037,-246.324,0.696,8669.377
2016-08,2016,08,4578,-110.658,0.516,8762.218
2016-09,2016,09,12730,224.772,1.343,9490.135
2016-10,2016,10,14657,23.342,1.614,9211.333
2016-11,2016,11,17355,245.024,1.781,9788.879
2016-12,2016,12,10230,35.156,1.092,9509.234
2017-01,2017,01,8884,67.904,0.925,9626.259
2017-02,2017,02,9259,208.682,0.926,10046.108
2017-03,2017,03,10882,3.548,1.131,9741.954
2017-04,2017,04,10858,-345.665,1.236,8872.471
2017-05,2017,05,11472,-339.071,1.317,8543.29
2017-06,2017,06,12120,-60.436,1.341,8900.808
2017-07,2017,07,5802,-161.681,0.674,8587.259
2017-08,2017,08,4483,-107.626,0.519,8560.716
2017-09,2017,09,9479,-386.268,1.225,7756.484
2017-10,2017,10,11213,-470.697,1.53,7159.145
2017-11,2017,11,13081,-339.447,1.804,7016.573
2017-12,2017,12,9990,155.064,1.258,7913.403
2018-01,2018,01,9294,551.58,1.05,9059.758
2018-02,2018,02,8047,367.041,0.907,9149.99
2018-03,2018,03,12323,642.48,1.239,10205.627
2018-04,2018,04,13019,579.573,1.256,10690.84
2018-05,2018,05,14194,481.642,1.322,11025.585
2018-06,2018,06,11291,-135.522,1.182,9964.317
2018-07,2018,07,7634,163.962,0.72,10577.505
2018-08,2018,08,4432,-275.749,0.469,9642.189
2018-09,2018,09,11776,-226.366,1.223,9489.898
2018-10,2018,10,17441,201.201,1.684,10332.449
2018-11,2018,11,13964,-357.494,1.578,9136.913
2018-12,2018,12,10312,-473.698,1.193,8488.909
2019-01,2019,01,10359,-102.792,1.135,8942.477
2019-02,2019,02,10506,445.453,1.041,10210.298
2019-03,2019,03,12533,337.446,1.233,10385.732
2019-04,2019,04,17231,937.013,1.457,12222.096
2019-05,2019,05,14118,440.817,1.239,11918.619
2019-06,2019,06,14570,433.385,1.202,12340.857
2019-07,2019,07,10153,698.53,0.771,13437.104
2019-08,2019,08,5665,287.709,0.445,13108.582
2019-09,2019,09,13404,-199.797,1.123,12177.526
2019-10,2019,10,23430,187.666,1.804,12946.387
2019-11,2019,11,19188,-6.869,1.53,12647.715
2019-12,2019,12,12608,-421.743,1.095,11603.661
