,year,month,n_jams,bt,ct,"ES(0.5, 0.2, 0.3)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,98.1,0.926,7325
2015-03,2015,03,10172,78.48,1.205,10172
2015-04,2015,04,9598,62.784,1.34,9598
2015-05,2015,05,8608,50.227,1.292,8608
2015-06,2015,06,10218,40.182,1.269,10218
2015-07,2015,07,5080,32.145,0.736,5080
2015-08,2015,08,4570,25.716,0.503,4570
2015-09,2015,09,10751,20.573,1.232,10751
2015-10,2015,10,12661,16.458,1.683,12661
2015-11,2015,11,15565,13.167,1.678,15565
2015-12,2015,12,10572,10.533,1.139,10572
2016-01,2016,01,9100,-109.048,0.937,9984.627
2016-02,2016,02,8534,-174.773,0.904,9546.955
2016-03,2016,03,10933,-204.682,1.187,9222.635
2016-04,2016,04,12516,-172.6,1.345,9178.365
2016-05,2016,05,12558,-101.236,1.315,9362.583
2016-06,2016,06,11645,-109.437,1.261,9220.345
2016-07,2016,07,6037,-199.969,0.711,8658.245
2016-08,2016,08,4578,-135.659,0.511,8779.829
2016-09,2016,09,12730,32.795,1.298,9486.441
2016-10,2016,10,14657,-48.352,1.642,9113.497
2016-11,2016,11,17355,79.441,1.746,9704.113
2016-12,2016,12,10230,-0.458,1.113,9384.06
2017-01,2017,01,8884,9.469,0.94,9433.234
2017-02,2017,02,9259,88.916,0.928,9839.937
2017-03,2017,03,10882,12.757,1.163,9548.061
2017-04,2017,04,10858,-136.207,1.283,8815.996
2017-05,2017,05,11472,-131.727,1.311,8702.191
2017-06,2017,06,12120,-27.754,1.301,9090.329
2017-07,2017,07,5802,-118.468,0.689,8609.005
2017-08,2017,08,4483,-89.748,0.514,8634.139
2017-09,2017,09,9479,-213.749,1.238,7924.384
2017-10,2017,10,11213,-301.827,1.574,7270.245
2017-11,2017,11,13081,-249.406,1.762,7230.525
2017-12,2017,12,9990,-50.178,1.194,7977.256
2018-01,2018,01,9294,146.041,1.007,8908.172
2018-02,2018,02,8047,108.152,0.92,8864.769
2018-03,2018,03,12323,270.716,1.231,9785.742
2018-04,2018,04,13019,279.916,1.297,10102.457
2018-05,2018,05,14194,324.517,1.339,10605.38
2018-06,2018,06,11291,99.64,1.23,9805.509
2018-07,2018,07,7634,216.34,0.716,10488.651
2018-08,2018,08,4432,8.557,0.486,9666.073
2018-09,2018,09,11776,-7.507,1.232,9594.311
2018-10,2018,10,17441,142.069,1.647,10334.683
2018-11,2018,11,13964,-113.039,1.639,9201.212
2018-12,2018,12,10312,-158.058,1.172,8863.08
2019-01,2019,01,10359,-0.252,1.056,9494.049
2019-02,2019,02,10506,191.953,0.976,10454.822
2019-03,2019,03,12533,145.451,1.221,10414.269
2019-04,2019,04,17231,417.884,1.404,11921.881
2019-05,2019,05,14118,238.22,1.293,11441.447
2019-06,2019,06,14570,254.959,1.243,11763.362
2019-07,2019,07,10153,470.754,0.76,13097.296
2019-08,2019,08,5665,278.69,0.47,12607.729
2019-09,2019,09,13404,78.111,1.181,11883.526
2019-10,2019,10,23430,304.562,1.744,13093.89
2019-11,2019,11,19188,135.672,1.587,12554.002
2019-12,2019,12,12608,-57.412,1.122,11724.254
