,year,month,n_jams,bt,"ES(0.4, 0.7)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,242.76,8001.8
2015-04,2015,04,9598,621.723,8785.936
2015-05,2015,05,8608,397.819,9087.796
2015-06,2015,06,10218,602.887,9778.568
2015-07,2015,07,5080,-881.521,8260.873
2015-08,2015,08,4570,-1668.139,6255.611
2015-09,2015,09,10751,57.648,7052.883
2015-10,2015,10,12661,1611.78,9330.719
2015-11,2015,11,15565,2906.08,12791.499
2015-12,2015,12,10572,1470.918,13647.347
2016-01,2016,01,9100,-214.196,12710.959
2016-02,2016,02,8534,-1323.77,10911.658
2016-03,2016,03,10933,-947.139,10125.933
2016-04,2016,04,12516,-12.721,10513.676
2016-05,2016,05,12558,563.252,11323.773
2016-06,2016,06,11645,495.485,11790.215
2016-07,2016,07,6037,-1254.151,9786.22
2016-08,2016,08,4578,-2361.29,6950.441
2016-09,2016,09,12730,-81.853,7845.49
2016-10,2016,10,14657,1848.289,10520.983
2016-11,2016,11,17355,3244.293,14363.563
2016-12,2016,12,10230,1178.493,14656.713
2017-01,2017,01,8884,-767.845,13054.724
2017-02,2017,02,9259,-1615.651,11075.728
2017-03,2017,03,10882,-1217.512,10028.846
2017-04,2017,04,10858,-644.446,9630.0
2017-05,2017,05,11472,51.759,9980.133
2017-06,2017,06,12120,636.429,10867.135
2017-07,2017,07,5802,-960.009,9222.939
2017-08,2017,08,4483,-2018.389,6750.958
2017-09,2017,09,9479,-689.388,6631.141
2017-10,2017,10,11213,786.561,8050.252
2017-11,2017,11,13081,1974.933,10534.488
2017-12,2017,12,9990,1269.495,11501.653
2018-01,2018,01,9294,295.894,11380.289
2018-02,2018,02,8047,-720.277,10224.51
2018-03,2018,03,12323,68.978,10631.74
2018-04,2018,04,13019,718.097,11628.03
2018-05,2018,05,14194,1235.501,13085.276
2018-06,2018,06,11291,387.164,13108.867
2018-07,2018,07,7634,-1254.205,11151.218
2018-08,2018,08,4432,-2784.409,7711.008
2018-09,2018,09,11776,-866.576,7666.36
2018-10,2018,10,17441,2112.964,11056.27
2018-11,2018,11,13964,2335.499,13487.141
2018-12,2018,12,10312,792.52,13618.384
2019-01,2019,01,10359,-342.013,12790.142
2019-02,2019,02,10506,-885.809,11671.277
2019-03,2019,03,12533,-396.5,11484.481
2019-04,2019,04,17231,1323.545,13545.188
2019-05,2019,05,14118,1113.34,14568.44
2019-06,2019,06,14570,802.041,15237.068
2019-07,2019,07,10153,-846.069,13684.666
2019-08,2019,08,5665,-2854.676,9969.158
2019-09,2019,09,13404,-1093.611,9630.289
2019-10,2019,10,23430,3076.519,14494.007
2019-11,2019,11,19188,3529.412,18217.516
2019-12,2019,12,12608,970.512,18091.356
