,year,month,n_jams,bt,ct,"ES(0.5, 0.3, 0.3)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,85.837,0.926,7325
2015-03,2015,03,10172,60.086,1.205,10172
2015-04,2015,04,9598,42.06,1.34,9598
2015-05,2015,05,8608,29.442,1.292,8608
2015-06,2015,06,10218,20.61,1.269,10218
2015-07,2015,07,5080,14.427,0.736,5080
2015-08,2015,08,4570,10.099,0.503,4570
2015-09,2015,09,10751,7.069,1.232,10751
2015-10,2015,10,12661,4.948,1.683,12661
2015-11,2015,11,15565,3.464,1.678,15565
2015-12,2015,12,10572,2.425,1.139,10572
2016-01,2016,01,9100,-175.731,0.937,9980.573
2016-02,2016,02,8534,-263.708,0.905,9511.586
2016-03,2016,03,10933,-289.926,1.188,9160.483
2016-04,2016,04,12516,-219.693,1.348,9104.667
2016-05,2016,05,12558,-94.529,1.318,9302.188
2016-06,2016,06,11645,-98.776,1.264,9193.501
2016-07,2016,07,6037,-232.148,0.712,8650.153
2016-08,2016,08,4578,-129.641,0.511,8759.694
2016-09,2016,09,12730,125.157,1.299,9479.382
2016-10,2016,10,14657,-9.36,1.642,9156.149
2016-11,2016,11,17355,170.084,1.743,9744.936
2016-12,2016,12,10230,30.516,1.112,9449.792
2017-01,2017,01,8884,30.9,0.938,9481.588
2017-02,2017,02,9259,139.425,0.926,9874.239
2017-03,2017,03,10882,10.988,1.162,9585.54
2017-04,2017,04,10858,-220.296,1.283,8825.581
2017-05,2017,05,11472,-205.698,1.313,8653.944
2017-06,2017,06,12120,-34.17,1.305,9020.008
2017-07,2017,07,5802,-159.716,0.691,8567.351
2017-08,2017,08,4483,-104.582,0.515,8591.413
2017-09,2017,09,9479,-282.794,1.24,7892.792
2017-10,2017,10,11213,-400.031,1.576,7219.209
2017-11,2017,11,13081,-297.297,1.764,7161.624
2017-12,2017,12,9990,20.667,1.197,7924.206
2018-01,2018,01,9294,315.451,1.008,8927.486
2018-02,2018,02,8047,232.316,0.919,8965.822
2018-03,2018,03,12323,442.733,1.226,9899.528
2018-04,2018,04,13019,412.951,1.293,10242.987
2018-05,2018,05,14194,436.465,1.335,10734.319
2018-06,2018,06,11291,58.998,1.229,9912.561
2018-07,2018,07,7634,219.537,0.715,10506.688
2018-08,2018,08,4432,-97.495,0.487,9669.452
2018-09,2018,09,11776,-108.88,1.233,9534.007
2018-10,2018,10,17441,137.688,1.652,10247.02
2018-11,2018,11,13964,-232.484,1.643,9150.802
2018-12,2018,12,10312,-277.847,1.176,8767.109
2019-01,2019,01,10359,-10.239,1.06,9381.289
2019-02,2019,02,10506,299.438,0.979,10403.305
2019-03,2019,03,12533,227.371,1.22,10462.521
2019-04,2019,04,17231,622.917,1.399,12008.377
2019-05,2019,05,14118,314.967,1.287,11604.795
2019-06,2019,06,14570,305.535,1.237,11888.321
2019-07,2019,07,10153,606.455,0.757,13196.924
2019-08,2019,08,5665,281.671,0.47,12720.766
2019-09,2019,09,13404,-38.596,1.18,11934.881
2019-10,2019,10,23430,304.672,1.745,13040.509
2019-11,2019,11,19188,54.16,1.592,12510.142
2019-12,2019,12,12608,-222.142,1.125,11643.294
