,year,month,n_jams,bt,ct,"ES(0.5, 0.3, 0.6)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,85.837,0.926,7325
2015-03,2015,03,10172,60.086,1.205,10172
2015-04,2015,04,9598,42.06,1.34,9598
2015-05,2015,05,8608,29.442,1.292,8608
2015-06,2015,06,10218,20.61,1.269,10218
2015-07,2015,07,5080,14.427,0.736,5080
2015-08,2015,08,4570,10.099,0.503,4570
2015-09,2015,09,10751,7.069,1.232,10751
2015-10,2015,10,12661,4.948,1.683,12661
2015-11,2015,11,15565,3.464,1.678,15565
2015-12,2015,12,10572,2.425,1.139,10572
2016-01,2016,01,9100,-175.731,0.904,9980.573
2016-02,2016,02,8534,-263.708,0.883,9511.586
2016-03,2016,03,10933,-289.926,1.172,9160.483
2016-04,2016,04,12516,-219.693,1.356,9104.667
2016-05,2016,05,12558,-94.529,1.344,9302.188
2016-06,2016,06,11645,-98.776,1.259,9193.501
2016-07,2016,07,6037,-232.148,0.688,8650.153
2016-08,2016,08,4578,-129.641,0.519,8759.694
2016-09,2016,09,12730,125.157,1.365,9479.382
2016-10,2016,10,14657,-9.36,1.601,9156.149
2016-11,2016,11,17355,170.084,1.808,9744.936
2016-12,2016,12,10230,30.516,1.085,9449.792
2017-01,2017,01,8884,82.193,0.926,9652.565
2017-02,2017,02,9259,194.246,0.929,10108.269
2017-03,2017,03,10882,42.019,1.115,9795.092
2017-04,2017,04,10858,-232.325,1.207,8922.629
2017-05,2017,05,11472,-255.892,1.309,8611.747
2017-06,2017,06,12120,-64.759,1.348,8992.964
2017-07,2017,07,5802,-139.54,0.662,8678.937
2017-08,2017,08,4483,-124.144,0.517,8590.715
2017-09,2017,09,9479,-352.438,1.208,7705.591
2017-10,2017,10,11213,-404.851,1.514,7178.443
2017-11,2017,11,13081,-335.895,1.817,7003.445
2017-12,2017,12,9990,44.679,1.29,7936.132
2018-01,2018,01,9294,353.436,1.073,9010.0
2018-02,2018,02,8047,248.398,0.907,9013.311
2018-03,2018,03,12323,517.553,1.266,10158.891
2018-04,2018,04,13019,533.412,1.252,10729.307
2018-05,2018,05,14194,470.276,1.317,11052.265
2018-06,2018,06,11291,-1.55,1.152,9949.79
2018-07,2018,07,7634,234.887,0.725,10736.361
2018-08,2018,08,4432,-125.965,0.455,9768.409
2018-09,2018,09,11776,-110.101,1.207,9695.324
2018-10,2018,10,17441,180.65,1.685,10554.393
2018-11,2018,11,13964,-276.658,1.521,9210.682
2018-12,2018,12,10312,-417.683,1.188,8463.943
2019-01,2019,01,10359,-176.443,1.164,8850.392
2019-02,2019,02,10506,259.146,1.075,10125.912
2019-03,2019,03,12533,186.156,1.249,10141.759
2019-04,2019,04,17231,701.542,1.52,12045.869
2019-05,2019,05,14118,396.882,1.23,11731.875
2019-06,2019,06,14570,474.538,1.206,12387.61
2019-07,2019,07,10153,644.916,0.782,13430.075
2019-08,2019,08,5665,402.688,0.435,13267.565
2019-09,2019,09,13404,18.598,1.089,12389.954
2019-10,2019,10,23430,243.384,1.809,13157.838
2019-11,2019,11,19188,126.101,1.483,13010.277
2019-12,2019,12,12608,-252.085,1.057,11875.758
