,year,month,n_jams,bt,ct,"ES(0.5, 0.3, 0.5)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,85.837,0.926,7325
2015-03,2015,03,10172,60.086,1.205,10172
2015-04,2015,04,9598,42.06,1.34,9598
2015-05,2015,05,8608,29.442,1.292,8608
2015-06,2015,06,10218,20.61,1.269,10218
2015-07,2015,07,5080,14.427,0.736,5080
2015-08,2015,08,4570,10.099,0.503,4570
2015-09,2015,09,10751,7.069,1.232,10751
2015-10,2015,10,12661,4.948,1.683,12661
2015-11,2015,11,15565,3.464,1.678,15565
2015-12,2015,12,10572,2.425,1.139,10572
2016-01,2016,01,9100,-175.731,0.915,9980.573
2016-02,2016,02,8534,-263.708,0.89,9511.586
2016-03,2016,03,10933,-289.926,1.177,9160.483
2016-04,2016,04,12516,-219.693,1.353,9104.667
2016-05,2016,05,12558,-94.529,1.336,9302.188
2016-06,2016,06,11645,-98.776,1.26,9193.501
2016-07,2016,07,6037,-232.148,0.696,8650.153
2016-08,2016,08,4578,-129.641,0.516,8759.694
2016-09,2016,09,12730,125.157,1.343,9479.382
2016-10,2016,10,14657,-9.36,1.615,9156.149
2016-11,2016,11,17355,170.084,1.787,9744.936
2016-12,2016,12,10230,30.516,1.094,9449.792
2017-01,2017,01,8884,64.689,0.928,9594.218
2017-02,2017,02,9259,175.635,0.928,10028.728
2017-03,2017,03,10882,31.557,1.131,9724.102
2017-04,2017,04,10858,-228.255,1.235,8889.621
2017-05,2017,05,11472,-239.121,1.313,8625.145
2017-06,2017,06,12120,-54.434,1.333,9001.648
2017-07,2017,07,5802,-146.425,0.67,8640.578
2017-08,2017,08,4483,-117.653,0.517,8590.06
2017-09,2017,09,9479,-329.697,1.223,7765.593
2017-10,2017,10,11213,-403.436,1.529,7190.1
2017-11,2017,11,13081,-323.232,1.803,7054.011
2017-12,2017,12,9990,36.648,1.255,7930.378
2018-01,2018,01,9294,344.476,1.05,8993.118
2018-02,2018,02,8047,244.906,0.911,9005.696
2018-03,2018,03,12323,491.45,1.25,10072.415
2018-04,2018,04,13019,488.21,1.264,10553.065
2018-05,2018,05,14194,453.469,1.329,10925.472
2018-06,2018,06,11291,17.456,1.183,9925.565
2018-07,2018,07,7634,234.167,0.72,10665.391
2018-08,2018,08,4432,-116.068,0.467,9732.108
2018-09,2018,09,11776,-114.364,1.217,9621.719
2018-10,2018,10,17441,170.196,1.671,10455.888
2018-11,2018,11,13964,-261.986,1.569,9185.479
2018-12,2018,12,10312,-368.203,1.189,8569.437
2019-01,2019,01,10359,-118.225,1.129,9034.491
2019-02,2019,02,10506,273.687,1.037,10222.641
2019-03,2019,03,12533,203.495,1.238,10262.356
2019-04,2019,04,17231,678.861,1.471,12050.404
2019-05,2019,05,14118,362.868,1.25,11675.954
2019-06,2019,06,14570,404.334,1.215,12177.042
2019-07,2019,07,10153,633.08,0.777,13343.861
2019-08,2019,08,5665,358.033,0.446,13060.118
2019-09,2019,09,13404,-2.045,1.121,12217.89
2019-10,2019,10,23430,268.816,1.794,13118.717
2019-11,2019,11,19188,94.803,1.516,12807.488
2019-12,2019,12,12608,-249.859,1.087,11753.418
