,year,month,n_jams,bt,ct,"ES(0.4, 0.2, 0.3)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,98.1,0.926,7325
2015-03,2015,03,10172,78.48,1.205,10172
2015-04,2015,04,9598,62.784,1.34,9598
2015-05,2015,05,8608,50.227,1.292,8608
2015-06,2015,06,10218,40.182,1.269,10218
2015-07,2015,07,5080,32.145,0.736,5080
2015-08,2015,08,4570,25.716,0.503,4570
2015-09,2015,09,10751,20.573,1.232,10751
2015-10,2015,10,12661,16.458,1.683,12661
2015-11,2015,11,15565,13.167,1.678,15565
2015-12,2015,12,10572,10.533,1.139,10572
2016-01,2016,01,9100,-85.132,0.937,10104.209
2016-02,2016,02,8534,-149.191,0.901,9698.778
2016-03,2016,03,10933,-187.311,1.182,9358.987
2016-04,2016,04,12516,-173.943,1.339,9238.517
2016-05,2016,05,12558,-121.557,1.312,9326.504
2016-06,2016,06,11645,-123.605,1.263,9194.706
2016-07,2016,07,6037,-192.847,0.712,8724.893
2016-08,2016,08,4578,-147.3,0.51,8759.781
2016-09,2016,09,12730,-10.001,1.299,9298.973
2016-10,2016,10,14657,-56.499,1.651,9056.486
2016-11,2016,11,17355,50.949,1.749,9537.225
2016-12,2016,12,10230,2.66,1.119,9346.731
2017-01,2017,01,8884,13.338,0.941,9402.781
2017-02,2017,02,9259,81.779,0.926,9758.325
2017-03,2017,03,10882,31.29,1.162,9587.659
2017-04,2017,04,10858,-89.672,1.277,9014.137
2017-05,2017,05,11472,-104.24,1.3,8851.624
2017-06,2017,06,12120,-36.094,1.295,9088.113
2017-07,2017,07,5802,-108.323,0.69,8690.875
2017-08,2017,08,4483,-91.038,0.511,8668.977
2017-09,2017,09,9479,-193.371,1.237,8066.275
2017-10,2017,10,11213,-279.907,1.573,7440.223
2017-11,2017,11,13081,-254.554,1.752,7287.081
2017-12,2017,12,9990,-102.836,1.194,7791.119
2018-01,2018,01,9294,72.289,1.017,8563.908
2018-02,2018,02,8047,76.296,0.93,8656.233
2018-03,2018,03,12323,226.302,1.24,9482.555
2018-04,2018,04,13019,265.004,1.306,9902.37
2018-05,2018,05,14194,324.848,1.34,10466.593
2018-06,2018,06,11291,159.264,1.23,9963.523
2018-07,2018,07,7634,234.661,0.713,10499.773
2018-08,2018,08,4432,69.21,0.485,9907.176
2018-09,2018,09,11776,32.604,1.223,9793.356
2018-10,2018,10,17441,133.654,1.635,10331.211
2018-11,2018,11,13964,-65.93,1.632,9466.946
2018-12,2018,12,10312,-127.352,1.163,9093.905
2019-01,2019,01,10359,-29.43,1.053,9456.161
2019-02,2019,02,10506,119.809,0.985,10172.93
2019-03,2019,03,12533,104.788,1.238,10217.634
2019-04,2019,04,17231,334.502,1.42,11470.988
2019-05,2019,05,14118,232.757,1.307,11296.768
2019-06,2019,06,14570,258.156,1.248,11656.519
2019-07,2019,07,10153,444.498,0.76,12846.386
2019-08,2019,08,5665,316.401,0.472,12650.396
2019-09,2019,09,13404,156.152,1.174,12165.556
2019-10,2019,10,23430,316.673,1.722,13124.31
2019-11,2019,11,19188,182.024,1.581,12767.737
2019-12,2019,12,12608,13.394,1.11,12106.613
