,year,month,n_jams,bt,ct,"ES(0.7, 0.5, 0.7)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,61.312,0.926,7325
2015-03,2015,03,10172,30.656,1.205,10172
2015-04,2015,04,9598,15.328,1.34,9598
2015-05,2015,05,8608,7.664,1.292,8608
2015-06,2015,06,10218,3.832,1.269,10218
2015-07,2015,07,5080,1.916,0.736,5080
2015-08,2015,08,4570,0.958,0.503,4570
2015-09,2015,09,10751,0.479,1.232,10751
2015-10,2015,10,12661,0.24,1.683,12661
2015-11,2015,11,15565,0.12,1.678,15565
2015-12,2015,12,10572,0.06,1.139,10572
2016-01,2016,01,9100,-414.809,0.893,9742.323
2016-02,2016,02,8534,-453.023,0.891,9251.085
2016-03,2016,03,10933,-356.764,1.189,8990.58
2016-04,2016,04,12516,-110.027,1.377,9127.289
2016-05,2016,05,12558,135.721,1.351,9508.759
2016-06,2016,06,11645,-27.077,1.238,9318.884
2016-07,2016,07,6037,-407.256,0.674,8531.449
2016-08,2016,08,4578,-65.24,0.527,8808.226
2016-09,2016,09,12730,489.764,1.381,9852.993
2016-10,2016,10,14657,-82.486,1.546,9198.258
2016-11,2016,11,17355,347.073,1.824,9974.889
2016-12,2016,12,10230,-121.016,1.059,9385.784
2017-01,2017,01,8884,116.839,0.931,9740.477
2017-02,2017,02,9259,304.241,0.933,10232.12
2017-03,2017,03,10882,-179.566,1.101,9568.747
2017-04,2017,04,10858,-705.041,1.207,8338.23
2017-05,2017,05,11472,-404.039,1.368,8235.194
2017-06,2017,06,12120,281.98,1.402,9203.193
2017-07,2017,07,5802,-25.783,0.644,8869.646
2017-08,2017,08,4483,-141.109,0.512,8613.212
2017-09,2017,09,9479,-704.712,1.185,7344.898
2017-10,2017,10,11213,-490.687,1.533,7068.236
2017-11,2017,11,13081,-282.933,1.843,6993.057
2017-12,2017,12,9990,668.701,1.318,8613.392
2018-01,2018,01,9294,915.501,1.034,9775.692
2018-02,2018,02,8047,193.35,0.856,9246.891
2018-03,2018,03,12323,806.344,1.263,10666.229
2018-04,2018,04,13019,565.252,1.217,10990.389
2018-05,2018,05,14194,151.486,1.315,10728.109
2018-06,2018,06,11291,-836.776,1.157,8903.07
2018-07,2018,07,7634,491.763,0.793,10723.373
2018-08,2018,08,4432,-402.419,0.443,9426.772
2018-09,2018,09,11776,-82.174,1.23,9664.842
2018-10,2018,10,17441,547.09,1.723,10841.196
2018-11,2018,11,13964,-786.517,1.454,8721.071
2018-12,2018,12,10312,-824.884,1.223,7857.821
2019-01,2019,01,10359,218.363,1.233,9119.432
2019-02,2019,02,10506,1245.73,1.063,11392.529
2019-03,2019,03,12533,294.933,1.149,10736.664
2019-04,2019,04,17231,1391.045,1.488,13223.82
2019-05,2019,05,14118,34.815,1.142,11902.405
2019-06,2019,06,14570,263.553,1.204,12394.697
2019-07,2019,07,10153,312.685,0.811,12756.514
2019-08,2019,08,5665,215.82,0.444,12875.469
2019-09,2019,09,13404,-551.618,1.098,11556.412
2019-10,2019,10,23430,356.232,1.936,12820.494
2019-11,2019,11,19188,361.802,1.484,13187.867
2019-12,2019,12,12608,-772.547,1.036,11280.971
