,year,month,n_jams,bt,ct,"ES(0.5, 0.7, 0.3)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,36.788,0.926,7325
2015-03,2015,03,10172,11.036,1.205,10172
2015-04,2015,04,9598,3.311,1.34,9598
2015-05,2015,05,8608,0.993,1.292,8608
2015-06,2015,06,10218,0.298,1.269,10218
2015-07,2015,07,5080,0.089,0.736,5080
2015-08,2015,08,4570,0.027,0.503,4570
2015-09,2015,09,10751,0.008,1.232,10751
2015-10,2015,10,12661,0.002,1.683,12661
2015-11,2015,11,15565,0.001,1.678,15565
2015-12,2015,12,10572,0.0,1.139,10572
2016-01,2016,01,9100,-414.847,0.937,9979.361
2016-02,2016,02,8534,-536.012,0.905,9391.421
2016-03,2016,03,10933,-459.825,1.193,8964.249
2016-04,2016,04,12516,-167.801,1.357,8921.601
2016-05,2016,05,12558,170.16,1.327,9236.601
2016-06,2016,06,11645,90.564,1.266,9293.052
2016-07,2016,07,6037,-321.748,0.71,8794.598
2016-08,2016,08,4578,-101.762,0.508,8787.116
2016-09,2016,09,12730,473.413,1.297,9507.033
2016-10,2016,10,14657,27.972,1.641,9344.102
2016-11,2016,11,17355,367.825,1.732,9857.578
2016-12,2016,12,10230,-66.468,1.108,9604.984
2017-01,2017,01,8884,-85.945,0.933,9510.691
2017-02,2017,02,9259,197.867,0.925,9830.192
2017-03,2017,03,10882,-118.715,1.167,9575.799
2017-04,2017,04,10858,-628.213,1.29,8729.23
2017-05,2017,05,11472,-437.151,1.323,8373.963
2017-06,2017,06,12120,135.014,1.321,8754.191
2017-07,2017,07,5802,-115.626,0.696,8531.147
2017-08,2017,08,4483,26.016,0.513,8617.867
2017-09,2017,09,9479,-442.1,1.238,7975.145
2017-10,2017,10,11213,-686.754,1.57,7183.54
2017-11,2017,11,13081,-316.858,1.759,7025.209
2017-12,2017,12,9990,489.858,1.202,7860.803
2018-01,2018,01,9294,1052.598,1.008,9154.575
2018-02,2018,02,8047,524.01,0.911,9452.047
2018-03,2018,03,12323,728.182,1.208,10267.731
2018-04,2018,04,13019,411.676,1.283,10543.761
2018-05,2018,05,14194,332.403,1.33,10842.19
2018-06,2018,06,11291,-586.189,1.237,9862.318
2018-07,2018,07,7634,7.46,0.719,10124.199
2018-08,2018,08,4432,-517.377,0.491,9381.892
2018-09,2018,09,11776,-291.054,1.243,9187.834
2018-10,2018,10,17441,482.38,1.669,10001.686
2018-11,2018,11,13964,-407.767,1.65,9212.428
2018-12,2018,12,10312,-487.894,1.178,8690.193
2019-01,2019,01,10359,238.217,1.063,9239.601
2019-02,2019,02,10506,955.573,0.979,10502.613
2019-03,2019,03,12533,576.359,1.204,10916.45
2019-04,2019,04,17231,1252.837,1.372,12459.207
2019-05,2019,05,14118,169.069,1.271,12163.804
2019-06,2019,06,14570,-24.373,1.225,12056.527
2019-07,2019,07,10153,705.04,0.756,13074.173
2019-08,2019,08,5665,-77.28,0.474,12661.613
2019-09,2019,09,13404,-708.278,1.188,11682.907
2019-10,2019,10,23430,364.872,1.77,12507.701
2019-11,2019,11,19188,-69.878,1.615,12251.502
2019-12,2019,12,12608,-585.947,1.133,11444.382
