,year,month,n_jams,ES(0.4)
2015-01,2015,01,8095,8095
2015-02,2015,02,7325,7787.0
2015-03,2015,03,10172,8741.0
2015-04,2015,04,9598,9083.8
2015-05,2015,05,8608,8893.48
2015-06,2015,06,10218,9423.288
2015-07,2015,07,5080,7685.973
2015-08,2015,08,4570,6439.584
2015-09,2015,09,10751,8164.15
2015-10,2015,10,12661,9962.89
2015-11,2015,11,15565,12203.734
2015-12,2015,12,10572,11551.04
2016-01,2016,01,9100,10570.624
2016-02,2016,02,8534,9755.975
2016-03,2016,03,10933,10226.785
2016-04,2016,04,12516,11142.471
2016-05,2016,05,12558,11708.683
2016-06,2016,06,11645,11683.21
2016-07,2016,07,6037,9424.726
2016-08,2016,08,4578,7486.035
2016-09,2016,09,12730,9583.621
2016-10,2016,10,14657,11612.973
2016-11,2016,11,17355,13909.784
2016-12,2016,12,10230,12437.87
2017-01,2017,01,8884,11016.322
2017-02,2017,02,9259,10313.393
2017-03,2017,03,10882,10540.836
2017-04,2017,04,10858,10667.702
2017-05,2017,05,11472,10989.421
2017-06,2017,06,12120,11441.653
2017-07,2017,07,5802,9185.792
2017-08,2017,08,4483,7304.675
2017-09,2017,09,9479,8174.405
2017-10,2017,10,11213,9389.843
2017-11,2017,11,13081,10866.306
2017-12,2017,12,9990,10515.783
2018-01,2018,01,9294,10027.07
2018-02,2018,02,8047,9235.042
2018-03,2018,03,12323,10470.225
2018-04,2018,04,13019,11489.735
2018-05,2018,05,14194,12571.441
2018-06,2018,06,11291,12059.265
2018-07,2018,07,7634,10289.159
2018-08,2018,08,4432,7946.295
2018-09,2018,09,11776,9478.177
2018-10,2018,10,17441,12663.306
2018-11,2018,11,13964,13183.584
2018-12,2018,12,10312,12034.95
2019-01,2019,01,10359,11364.57
2019-02,2019,02,10506,11021.142
2019-03,2019,03,12533,11625.885
2019-04,2019,04,17231,13867.931
2019-05,2019,05,14118,13967.959
2019-06,2019,06,14570,14208.775
2019-07,2019,07,10153,12586.465
2019-08,2019,08,5665,9817.879
2019-09,2019,09,13404,11252.327
2019-10,2019,10,23430,16123.396
2019-11,2019,11,19188,17349.238
2019-12,2019,12,12608,15452.743
