,year,month,n_jams,bt,ct,"ES(0.3, 0.3, 0.4)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,85.837,0.926,7325
2015-03,2015,03,10172,60.086,1.205,10172
2015-04,2015,04,9598,42.06,1.34,9598
2015-05,2015,05,8608,29.442,1.292,8608
2015-06,2015,06,10218,20.61,1.269,10218
2015-07,2015,07,5080,14.427,0.736,5080
2015-08,2015,08,4570,10.099,0.503,4570
2015-09,2015,09,10751,7.069,1.232,10751
2015-10,2015,10,12661,4.948,1.683,12661
2015-11,2015,11,15565,3.464,1.678,15565
2015-12,2015,12,10572,2.425,1.139,10572
2016-01,2016,01,9100,-104.469,0.926,10218.114
2016-02,2016,02,8534,-185.047,0.89,9845.05
2016-03,2016,03,10933,-237.869,1.167,9483.929
2016-04,2016,04,12516,-229.525,1.332,9273.875
2016-05,2016,05,12558,-168.77,1.317,9246.865
2016-06,2016,06,11645,-159.658,1.265,9108.47
2016-07,2016,07,6037,-226.549,0.707,8725.843
2016-08,2016,08,4578,-172.361,0.512,8679.921
2016-09,2016,09,12730,-8.457,1.326,9053.905
2016-10,2016,10,14657,-38.849,1.657,8944.141
2016-11,2016,11,17355,90.552,1.783,9336.629
2016-12,2016,12,10230,50.716,1.121,9294.396
2017-01,2017,01,8884,73.132,0.938,9419.832
2017-02,2017,02,9259,155.561,0.927,9767.728
2017-03,2017,03,10882,101.552,1.146,9743.257
2017-04,2017,04,10858,-50.84,1.245,9336.837
2017-05,2017,05,11472,-102.547,1.282,9113.641
2017-06,2017,06,12120,-51.187,1.291,9182.293
2017-07,2017,07,5802,-133.928,0.677,8855.304
2017-08,2017,08,4483,-130.3,0.509,8733.468
2017-09,2017,09,9479,-261.279,1.23,8166.572
2017-10,2017,10,11213,-363.894,1.544,7563.243
2017-11,2017,11,13081,-351.516,1.762,7240.609
2017-12,2017,12,9990,-169.801,1.225,7494.809
2018-01,2018,01,9294,62.768,1.059,8100.238
2018-02,2018,02,8047,109.452,0.954,8318.621
2018-03,2018,03,12323,318.743,1.28,9125.709
2018-04,2018,04,13019,409.896,1.318,9748.294
2018-05,2018,05,14194,492.426,1.351,10433.291
2018-06,2018,06,11291,296.311,1.207,10272.001
2018-07,2018,07,7634,360.509,0.703,10782.306
2018-08,2018,08,4432,140.547,0.47,10409.609
2018-09,2018,09,11776,52.814,1.19,10257.711
2018-10,2018,10,17441,141.705,1.606,10606.828
2018-11,2018,11,13964,-112.23,1.584,9902.084
2018-12,2018,12,10312,-235.548,1.151,9378.792
2019-01,2019,01,10359,-177.888,1.077,9335.446
2019-02,2019,02,10506,-10.421,1.022,9715.78
2019-03,2019,03,12533,-2.76,1.284,9730.897
2019-04,2019,04,17231,298.657,1.499,10732.861
2019-05,2019,05,14118,246.059,1.337,10856.189
2019-06,2019,06,14570,332.892,1.261,11391.692
2019-07,2019,07,10153,576.978,0.778,12538.204
2019-08,2019,08,5665,481.133,0.463,12795.7
2019-09,2019,09,13404,299.625,1.133,12671.805
2019-10,2019,10,23430,444.939,1.703,13455.812
2019-11,2019,11,19188,284.413,1.521,13365.664
2019-12,2019,12,12608,41.41,1.068,12840.066
