,year,month,n_jams,bt,"ES(0.4, 0.3)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,-335.96,8001.8
2015-04,2015,04,9598,-104.101,8438.704
2015-05,2015,05,8608,-71.293,8443.962
2015-06,2015,06,10218,150.147,9110.801
2015-07,2015,07,5080,-351.567,7588.569
2015-08,2015,08,4570,-671.607,6170.201
2015-09,2015,09,10751,-41.319,7599.556
2015-10,2015,10,12661,571.013,9599.343
2015-11,2015,11,15565,1218.37,12328.213
2015-12,2015,12,10572,861.42,12356.75
2016-01,2016,01,9100,367.24,11570.902
2016-02,2016,02,8534,-41.257,10576.485
2016-03,2016,03,10933,6.475,10694.337
2016-04,2016,04,12516,224.298,11426.887
2016-05,2016,05,12558,333.116,12013.911
2016-06,2016,06,11645,248.872,12066.216
2016-07,2016,07,6037,-504.498,9803.853
2016-08,2016,08,4578,-1071.061,7410.813
2016-09,2016,09,12730,-304.231,8895.851
2016-10,2016,10,14657,423.615,11017.772
2016-11,2016,11,17355,1133.248,13806.832
2016-12,2016,12,10230,568.039,13056.048
2017-01,2017,01,8884,-0.772,11728.052
2017-02,2017,02,9259,-296.965,10739.968
2017-03,2017,03,10882,-244.286,10618.602
2017-04,2017,04,10858,-186.244,10567.789
2017-05,2017,05,11472,-55.389,10817.727
2017-06,2017,06,12120,107.53,11305.403
2017-07,2017,07,5802,-565.782,9168.56
2017-08,2017,08,4483,-1060.155,6954.867
2017-09,2017,09,9479,-630.041,7328.427
2017-10,2017,10,11213,-88.287,8504.232
2017-11,2017,11,13081,471.52,10281.967
2017-12,2017,12,9990,379.901,10448.092
2018-01,2018,01,9294,195.822,10214.396
2018-02,2018,02,8047,-87.764,9464.931
2018-03,2018,03,12323,265.736,10555.5
2018-04,2018,04,13019,529.468,11700.342
2018-05,2018,05,14194,765.17,13015.485
2018-06,2018,06,11291,466.412,12784.794
2018-07,2018,07,7634,-207.653,11004.323
2018-08,2018,08,4432,-971.413,8250.802
2018-09,2018,09,11776,-431.82,9078.033
2018-10,2018,10,17441,623.554,12164.128
2018-11,2018,11,13964,764.713,13258.209
2018-12,2018,12,10312,319.402,12538.553
2019-01,2019,01,10359,19.527,11858.373
2019-02,2019,02,10506,-145.101,11329.14
2019-03,2019,03,12533,16.775,11723.624
2019-04,2019,04,17231,675.647,13936.639
2019-05,2019,05,14118,616.332,14414.571
2019-06,2019,06,14570,561.024,14846.542
2019-07,2019,07,10153,-69.524,13305.74
2019-08,2019,08,5665,-978.07,10207.729
2019-09,2019,09,13404,-477.149,10899.396
2019-10,2019,10,23430,1083.781,15625.348
2019-11,2019,11,19188,1381.246,17700.678
2019-12,2019,12,12608,604.375,16492.354
