,year,month,n_jams,bt,ct,"ES(0.3, 0.3, 0.3)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,85.837,0.926,7325
2015-03,2015,03,10172,60.086,1.205,10172
2015-04,2015,04,9598,42.06,1.34,9598
2015-05,2015,05,8608,29.442,1.292,8608
2015-06,2015,06,10218,20.61,1.269,10218
2015-07,2015,07,5080,14.427,0.736,5080
2015-08,2015,08,4570,10.099,0.503,4570
2015-09,2015,09,10751,7.069,1.232,10751
2015-10,2015,10,12661,4.948,1.683,12661
2015-11,2015,11,15565,3.464,1.678,15565
2015-12,2015,12,10572,2.425,1.139,10572
2016-01,2016,01,9100,-104.469,0.937,10218.114
2016-02,2016,02,8534,-185.047,0.899,9845.05
2016-03,2016,03,10933,-237.869,1.177,9483.929
2016-04,2016,04,12516,-229.525,1.334,9273.875
2016-05,2016,05,12558,-168.77,1.311,9246.865
2016-06,2016,06,11645,-159.658,1.266,9108.47
2016-07,2016,07,6037,-226.549,0.714,8725.843
2016-08,2016,08,4578,-172.361,0.509,8679.921
2016-09,2016,09,12730,-8.457,1.303,9053.905
2016-10,2016,10,14657,-38.849,1.664,8944.141
2016-11,2016,11,17355,90.552,1.757,9336.629
2016-12,2016,12,10230,50.716,1.126,9294.396
2017-01,2017,01,8884,63.114,0.943,9386.439
2017-02,2017,02,9259,140.007,0.925,9705.863
2017-03,2017,03,10882,86.227,1.16,9666.604
2017-04,2017,04,10858,-59.014,1.271,9268.693
2017-05,2017,05,11472,-100.139,1.289,9072.595
2017-06,2017,06,12120,-45.933,1.287,9153.142
2017-07,2017,07,5802,-134.074,0.69,8813.407
2017-08,2017,08,4483,-123.312,0.509,8715.207
2017-09,2017,09,9479,-241.715,1.238,8197.218
2017-10,2017,10,11213,-351.204,1.575,7590.541
2017-11,2017,11,13081,-332.56,1.747,7301.484
2017-12,2017,12,9990,-161.087,1.198,7540.498
2018-01,2018,01,9294,62.212,1.03,8123.743
2018-02,2018,02,8047,108.479,0.945,8340.176
2018-03,2018,03,12323,304.189,1.255,9101.024
2018-04,2018,04,13019,379.731,1.319,9657.02
2018-05,2018,05,14194,467.634,1.343,10329.76
2018-06,2018,06,11291,285.542,1.229,10190.421
2018-07,2018,07,7634,338.658,0.708,10653.015
2018-08,2018,08,4432,132.687,0.481,10305.103
2018-09,2018,09,11776,49.24,1.21,10159.634
2018-10,2018,10,17441,127.003,1.618,10468.085
2018-11,2018,11,13964,-107.035,1.623,9814.961
2018-12,2018,12,10312,-206.368,1.154,9376.814
2019-01,2019,01,10359,-126.154,1.052,9437.827
2019-02,2019,02,10506,36.765,0.995,9854.737
2019-03,2019,03,12533,45.119,1.26,9919.347
2019-04,2019,04,17231,324.295,1.444,10895.054
2019-05,2019,05,14118,260.592,1.329,11007.007
2019-06,2019,06,14570,313.725,1.257,11444.707
2019-07,2019,07,10153,546.764,0.761,12535.228
2019-08,2019,08,5665,428.747,0.472,12688.601
2019-09,2019,09,13404,245.541,1.164,12506.663
2019-10,2019,10,23430,401.455,1.694,13271.916
2019-11,2019,11,19188,234.977,1.57,13118.446
2019-12,2019,12,12608,16.352,1.096,12624.671
