,year,month,n_jams,bt,"ES(0.5, 0.3)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,-227.45,8363.5
2015-04,2015,04,9598,-8.158,8867.025
2015-05,2015,05,8608,-45.788,8733.434
2015-06,2015,06,10218,183.765,9452.823
2015-07,2015,07,5080,-499.723,7358.294
2015-08,2015,08,4570,-843.009,5714.286
2015-09,2015,09,10751,38.95,7811.139
2015-10,2015,10,12661,760.587,10255.544
2015-11,2015,11,15565,1442.917,13290.565
2015-12,2015,12,10572,818.695,12652.741
2016-01,2016,01,9100,162.979,11285.718
2016-02,2016,02,8534,-274.225,9991.349
2016-03,2016,03,10933,-91.844,10325.062
2016-04,2016,04,12516,250.574,11374.609
2016-05,2016,05,12558,390.496,12091.591
2016-06,2016,06,11645,264.933,12063.544
2016-07,2016,07,6037,-678.788,9182.738
2016-08,2016,08,4578,-1267.681,6540.975
2016-09,2016,09,12730,-149.175,9001.647
2016-10,2016,10,14657,721.504,11754.736
2016-11,2016,11,17355,1453.318,14915.62
2016-12,2016,12,10230,532.477,13299.469
2017-01,2017,01,8884,-209.715,11357.973
2017-02,2017,02,9259,-493.103,10203.629
2017-03,2017,03,10882,-317.382,10296.263
2017-04,2017,04,10858,-185.514,10418.44
2017-05,2017,05,11472,0.347,10852.463
2017-06,2017,06,12120,190.425,11486.405
2017-07,2017,07,5802,-690.799,8739.415
2017-08,2017,08,4483,-1225.642,6265.808
2017-09,2017,09,9479,-559.817,7259.583
2017-10,2017,10,11213,117.168,8956.383
2017-11,2017,11,13081,718.286,11077.276
2017-12,2017,12,9990,447.451,10892.781
2018-01,2018,01,9294,140.517,10317.116
2018-02,2018,02,8047,-221.078,9252.316
2018-03,2018,03,12323,272.686,10677.119
2018-04,2018,04,13019,583.065,11984.403
2018-05,2018,05,14194,827.045,13380.734
2018-06,2018,06,11291,389.528,12749.389
2018-07,2018,07,7634,-436.209,10386.459
2018-08,2018,08,4432,-1263.947,7191.125
2018-09,2018,09,11776,-386.624,8851.589
2018-10,2018,10,17441,959.782,12952.983
2018-11,2018,11,13964,967.467,13938.382
2018-12,2018,12,10312,278.39,12608.925
2019-01,2019,01,10359,-100.858,11623.157
2019-02,2019,02,10506,-253.302,11014.15
2019-03,2019,03,12533,12.52,11646.924
2019-04,2019,04,17231,848.254,14445.222
2019-05,2019,05,14118,671.932,14705.738
2019-06,2019,06,14570,550.782,14973.835
2019-07,2019,07,10153,-254.961,12838.809
2019-08,2019,08,5665,-1292.788,9124.424
2019-09,2019,09,13404,-456.933,10617.818
2019-10,2019,10,23430,1533.434,16795.442
2019-11,2019,11,19188,1662.303,18758.438
2019-12,2019,12,12608,490.391,16514.37
